2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,133,12.8,30,0,0,0,1.5,10,5,0
2,135,12.8,30,0,0,0,1.5,10,5,0
3,137,12.8,30,0,0,0,1.5,10,5,0
4,139,12.8,30,0,0,0,1.5,10,5,0
5,141,12.8,30,0,0,0,1.5,10,5,0
6,144,12.8,30,0,0,0,1.5,10,5,0
7,146,12.8,30,0,0,0,1.5,10,5,0
8,148,12.8,30,0,0,0,1.5,10,5,0
9,150,12.8,30,0,0,0,1.5,10,5,0
10,152,12.8,30,0,0,0,1.5,10,5,0
11,153,12.8,30,0,0,0,1.5,10,5,0
12,155,12.8,30,0,0,0,1.5,10,5,0
13,157,12.8,30,0,0,0,1.5,10,5,0
14,159,12.8,30,0,0,0,1.5,10,5,0
15,161,12.8,30,0,0,0,1.5,10,5,0
16,163,12.8,30,0,0,0,1.5,10,5,0
17,165,12.8,30,0,0,0,1.5,10,5,0
18,167,12.8,30,0,0,0,1.5,10,5,0
19,169,12.8,30,0,0,0,1.5,10,5,0
20,171,12.8,30,0,0,0,1.5,10,5,0
21,173,12.8,30,0,0,0,1.5,10,5,0
22,175,12.8,30,0,0,0,1.5,10,5,0
23,177,12.8,30,0,0,0,1.5,10,5,0
24,179,12.8,30,0,0,0,1.5,10,5,0
25,181,12.8,30,0,0,0,1.5,10,5,0
26,183,12.8,30,0,0,0,1.5,10,5,0
27,185,12.8,30,0,0,0,1.5,10,5,0
28,187,12.8,30,0,0,0,1.5,10,5,0
29,189,12.8,30,0,0,0,1.5,10,5,0
30,191,12.8,30,0,0,0,1.5,10,5,0
31,193,12.8,30,0,0,0,1.5,10,5,0
32,195,12.8,30,0,0,0,1.5,10,5,0
33,197,12.8,30,0,0,0,1.5,10,5,0
34,199,12.8,30,0,0,0,1.5,10,5,0
35,201,12.8,30,0,0,0,1.5,10,5,0
36,203,12.8,30,0,0,0,1.5,10,5,0
37,205,12.8,30,0,0,0,1.5,10,5,0
38,207,12.8,30,0,0,0,1.5,10,5,0
39,209,12.8,30,0,0,0,1.5,10,5,0
40,211,12.8,30,0,0,0,1.5,10,5,0
41,213,12.8,30,0,0,0,1.5,10,5,0
42,215,12.8,30,0,0,0,1.5,10,5,0
43,218,12.8,30,0,0,0,1.5,10,5,0
44,220,12.8,30,0,0,0,1.5,10,5,0
45,223,12.8,30,0,0,0,1.5,10,5,0
46,225,12.8,30,0,0,0,1.5,10,5,0
47,228,12.8,30,0,0,0,1.5,10,5,0
48,230,12.8,30,0,0,0,1.5,10,5,0
49,233,12.8,30,0,0,0,1.5,10,5,0
50,235,12.8,30,0,0,0,1.5,10,5,0
