2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,72,12.8,30,0,0,0,1.5,15,9,0
2,73,12.8,30,0,0,0,1.5,15,9,0
3,73,12.8,30,0,0,0,1.5,15,9,0
4,74,12.8,30,0,0,0,1.5,15,9,0
5,74,12.8,30,0,0,0,1.5,15,9,0
6,75,12.8,30,0,0,0,1.5,15,9,0
7,75,12.8,30,0,0,0,1.5,15,9,0
8,76,12.8,30,0,0,0,1.5,15,9,0
9,76,12.8,30,0,0,0,1.5,15,9,0
10,77,12.8,30,0,0,0,1.5,15,9,0
11,77,12.8,30,0,0,0,1.5,15,9,0
12,78,12.8,30,0,0,0,1.5,15,9,0
13,78,12.8,30,0,0,0,1.5,15,9,0
14,79,12.8,30,0,0,0,1.5,15,9,0
15,80,12.8,30,0,0,0,1.5,15,9,0
16,80,12.8,30,0,0,0,1.5,15,9,0
17,81,12.8,30,0,0,0,1.5,15,9,0
18,82,12.8,30,0,0,0,1.5,15,9,0
19,82,12.8,30,0,0,0,1.5,15,9,0
20,83,12.8,30,0,0,0,1.5,15,9,0
21,83,12.8,30,0,0,0,1.5,15,9,0
22,84,12.8,30,0,0,0,1.5,15,9,0
23,84,12.8,30,0,0,0,1.5,15,9,0
24,85,12.8,30,0,0,0,1.5,15,9,0
25,86,12.8,30,0,0,0,1.5,15,9,0
26,86,12.8,30,0,0,0,1.5,15,9,0
27,87,12.8,30,0,0,0,1.5,15,9,0
28,88,12.8,30,0,0,0,1.5,15,9,0
29,88,12.8,30,0,0,0,1.5,15,9,0
30,89,12.8,30,0,0,0,1.5,15,9,0
31,89,12.8,30,0,0,0,1.5,15,9,0
32,90,12.8,30,0,0,0,1.5,15,9,0
33,90,12.8,30,0,0,0,1.5,15,9,0
34,91,12.8,30,0,0,0,1.5,15,9,0
35,92,12.8,30,0,0,0,1.5,15,9,0
36,92,12.8,30,0,0,0,1.5,15,9,0
37,93,12.8,30,0,0,0,1.5,15,9,0
38,94,12.8,30,0,0,0,1.5,15,9,0
39,94,12.8,30,0,0,0,1.5,15,9,0
40,95,12.8,30,0,0,0,1.5,15,9,0
41,95,12.8,30,0,0,0,1.5,15,9,0
42,96,12.8,30,0,0,0,1.5,15,9,0
43,96,12.8,30,0,0,0,1.5,15,9,0
44,97,12.8,30,0,0,0,1.5,15,9,0
45,97,12.8,30,0,0,0,1.5,15,9,0
46,98,12.8,30,0,0,0,1.5,15,9,0
47,98,12.8,30,0,0,0,1.5,15,9,0
48,99,12.8,30,0,0,0,1.5,15,9,0
49,99,12.8,30,0,0,0,1.5,15,9,0
50,100,12.8,30,0,0,0,1.5,15,9,0
