2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,89,13.3,22,0,0,0,4,0,1,20
2,90,13.3,22,0,0,0,4,0,1,20
3,91,13.3,22,0,0,0,4,0,1,20
4,91,13.3,22,0,0,0,4,0,1,20
5,92,13.3,22,0,0,0,4,0,1,20
6,93,13.3,22,0,0,0,4,0,1,20
7,94,13.3,22,0,0,0,4,0,1,20
8,94,13.3,22,0,0,0,4,0,1,20
9,95,13.3,22,0,0,0,4,0,1,20
10,96,13.3,22,0,0,0,4,0,1,20
11,96,13.3,22,0,0,0,4,0,1,20
12,97,13.3,22,0,0,0,4,0,1,20
13,98,13.3,22,0,0,0,4,0,1,20
14,99,13.3,22,0,0,0,4,0,1,20
15,100,13.3,22,0,0,0,4,0,1,20
16,100,13.3,22,0,0,0,4,0,1,20
17,101,13.3,22,0,0,0,4,0,1,20
18,102,13.3,22,0,0,0,4,0,1,20
19,103,13.3,22,0,0,0,4,0,1,20
20,104,13.3,22,0,0,0,4,0,1,20
21,104,13.3,22,0,0,0,4,0,1,20
22,105,13.3,22,0,0,0,4,0,1,20
23,106,13.3,22,0,0,0,4,0,1,20
24,107,13.3,22,0,0,0,4,0,1,20
25,108,13.3,22,0,0,0,4,0,1,20
26,108,13.3,22,0,0,0,4,0,1,20
27,109,13.3,22,0,0,0,4,0,1,20
28,110,13.3,22,0,0,0,4,0,1,20
29,111,13.3,22,0,0,0,4,0,1,20
30,112,13.3,22,0,0,0,4,0,1,20
31,112,13.3,22,0,0,0,4,0,1,20
32,113,13.3,22,0,0,0,4,0,1,20
33,114,13.3,22,0,0,0,4,0,1,20
34,114,13.3,22,0,0,0,4,0,1,20
35,115,13.3,22,0,0,0,4,0,1,20
36,116,13.3,22,0,0,0,4,0,1,20
37,117,13.3,22,0,0,0,4,0,1,20
38,117,13.3,22,0,0,0,4,0,1,20
39,118,13.3,22,0,0,0,4,0,1,20
40,119,13.3,22,0,0,0,4,0,1,20
41,119,13.3,22,0,0,0,4,0,1,20
42,120,13.3,22,0,0,0,4,0,1,20
43,121,13.3,22,0,0,0,4,0,1,20
44,122,13.3,22,0,0,0,4,0,1,20
45,123,13.3,22,0,0,0,4,0,1,20
46,123,13.3,22,0,0,0,4,0,1,20
47,124,13.3,22,0,0,0,4,0,1,20
48,125,13.3,22,0,0,0,4,0,1,20
49,126,13.3,22,0,0,0,4,0,1,20
50,127,13.3,22,0,0,0,4,0,1,20
