2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,40,13.3,22,0,0,0,4,0,1,20
2,41,13.3,22,0,0,0,4,0,1,20
3,42,13.3,22,0,0,0,4,0,1,20
4,42,13.3,22,0,0,0,4,0,1,20
5,43,13.3,22,0,0,0,4,0,1,20
6,44,13.3,22,0,0,0,4,0,1,20
7,45,13.3,22,0,0,0,4,0,1,20
8,45,13.3,22,0,0,0,4,0,1,20
9,46,13.3,22,0,0,0,4,0,1,20
10,47,13.3,22,0,0,0,4,0,1,20
11,47,13.3,22,0,0,0,4,0,1,20
12,48,13.3,22,0,0,0,4,0,1,20
13,49,13.3,22,0,0,0,4,0,1,20
14,49,13.3,22,0,0,0,4,0,1,20
15,50,13.3,22,0,0,0,4,0,1,20
16,51,13.3,22,0,0,0,4,0,1,20
17,52,13.3,22,0,0,0,4,0,1,20
18,52,13.3,22,0,0,0,4,0,1,20
19,53,13.3,22,0,0,0,4,0,1,20
20,54,13.3,22,0,0,0,4,0,1,20
21,54,13.3,22,0,0,0,4,0,1,20
22,55,13.3,22,0,0,0,4,0,1,20
23,55,13.3,22,0,0,0,4,0,1,20
24,56,13.3,22,0,0,0,4,0,1,20
25,57,13.3,22,0,0,0,4,0,1,20
26,57,13.3,22,0,0,0,4,0,1,20
27,58,13.3,22,0,0,0,4,0,1,20
28,59,13.3,22,0,0,0,4,0,1,20
29,59,13.3,22,0,0,0,4,0,1,20
30,60,13.3,22,0,0,0,4,0,1,20
31,60,13.3,22,0,0,0,4,0,1,20
32,61,13.3,22,0,0,0,4,0,1,20
33,62,13.3,22,0,0,0,4,0,1,20
34,62,13.3,22,0,0,0,4,0,1,20
35,63,13.3,22,0,0,0,4,0,1,20
36,64,13.3,22,0,0,0,4,0,1,20
37,65,13.3,22,0,0,0,4,0,1,20
38,65,13.3,22,0,0,0,4,0,1,20
39,66,13.3,22,0,0,0,4,0,1,20
40,67,13.3,22,0,0,0,4,0,1,20
41,67,13.3,22,0,0,0,4,0,1,20
42,68,13.3,22,0,0,0,4,0,1,20
43,69,13.3,22,0,0,0,4,0,1,20
44,69,13.3,22,0,0,0,4,0,1,20
45,70,13.3,22,0,0,0,4,0,1,20
46,71,13.3,22,0,0,0,4,0,1,20
47,72,13.3,22,0,0,0,4,0,1,20
48,72,13.3,22,0,0,0,4,0,1,20
49,73,13.3,22,0,0,0,4,0,1,20
50,74,13.3,22,0,0,0,4,0,1,20
