1
LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;2;12;0;0;0;0;0;1;1
2;2;12;0;0;0;0;0;1;1
3;2;12;0;0;0;0;0;1;1
4;2;12;0;0;0;0;0;1;1
5;2;12;0;0;0;0;0;1;1
6;2;12;0;0;0;0;0;1;1
7;2;12;0;0;0;0;0;1;1
8;2;12;0;0;0;0;0;1;1
9;2;12;0;0;0;0;0;1;1
10;2;12;0;0;0;0;0;1;1
11;2;12;0;0;0;0;0;1;1
12;2;12;0;0;0;0;0;1;1
13;2;12;0;0;0;0;0;1;1
14;2;12;0;0;0;0;0;1;1
15;2;12;0;0;0;0;0;1;1
16;2;12;0;0;0;0;0;1;1
17;2;12;0;0;0;0;0;1;1
18;2;12;0;0;0;0;0;1;1
19;2;12;0;0;0;0;0;1;1
20;2;12;0;0;0;0;0;1;1
21;2;12;0;0;0;0;0;1;1
22;2;12;0;0;0;0;0;1;1
23;2;12;0;0;0;0;0;1;1
24;2;12;0;0;0;0;0;1;1
25;2;12;0;0;0;0;0;1;1
26;2;12;0;0;0;0;0;1;1
27;2;12;0;0;0;0;0;1;1
28;2;12;0;0;0;0;0;1;1
29;2;12;0;0;0;0;0;1;1
30;2;12;0;0;0;0;0;1;1
31;2;12;0;0;0;0;0;1;1
32;2;12;0;0;0;0;0;1;1
33;2;12;0;0;0;0;0;1;1
34;2;12;0;0;0;0;0;1;1
35;2;12;0;0;0;0;0;1;1
36;2;12;0;0;0;0;0;1;1
37;3;12;0;0;0;0;0;1;1
38;3;12;0;0;0;0;0;1;1
39;3;12;0;0;0;0;0;1;1
40;3;12;0;0;0;0;0;1;1
41;3;12;0;0;0;0;0;1;1
42;3;12;0;0;0;0;0;1;1
43;3;12;0;0;0;0;0;1;1
44;3;12;0;0;0;0;0;1;1
45;3;12;0;0;0;0;0;1;1
46;3;12;0;0;0;0;0;1;1
47;3;12;0;0;0;0;0;1;1
48;3;12;0;0;0;0;0;1;1
49;3;12;0;0;0;0;0;1;1
50;3;12;0;0;0;0;0;1;1
