1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,4,12,0,0,0,0,0,0,1,1
2,4,12,0,0,0,0,0,0,1,1
3,4,12,0,0,0,0,0,0,1,1
4,4,12,0,0,0,0,0,0,1,1
5,4,12,0,0,0,0,0,0,1,1
6,4,12,0,0,0,0,0,0,1,1
7,4,12,0,0,0,0,0,0,1,1
8,4,12,0,0,0,0,0,0,1,1
9,4,12,0,0,0,0,0,0,1,1
10,4,12,0,0,0,0,0,0,1,1
11,4,12,0,0,0,0,0,0,1,1
12,4,12,0,0,0,0,0,0,1,1
13,4,12,0,0,0,0,0,0,1,1
14,4,12,0,0,0,0,0,0,1,1
15,5,12,0,0,0,0,0,0,1,1
16,5,12,0,0,0,0,0,0,1,1
17,5,12,0,0,0,0,0,0,1,1
18,5,12,0,0,0,0,0,0,1,1
19,5,12,0,0,0,0,0,0,1,1
20,5,12,0,0,0,0,0,0,1,1
21,5,12,0,0,0,0,0,0,1,1
22,5,12,0,0,0,0,0,0,1,1
23,5,12,0,0,0,0,0,0,1,1
24,5,12,0,0,0,0,0,0,1,1
25,5,12,0,0,0,0,0,0,1,1
26,5,12,0,0,0,0,0,0,1,1
27,5,12,0,0,0,0,0,0,1,1
28,5,12,0,0,0,0,0,0,1,1
29,5,12,0,0,0,0,0,0,1,1
30,5,12,0,0,0,0,0,0,1,1
31,5,12,0,0,0,0,0,0,1,1
32,5,12,0,0,0,0,0,0,1,1
33,5,12,0,0,0,0,0,0,1,1
34,5,12,0,0,0,0,0,0,1,1
35,5,12,0,0,0,0,0,0,1,1
36,5,12,0,0,0,0,0,0,1,1
37,5,12,0,0,0,0,0,0,1,1
38,5,12,0,0,0,0,0,0,1,1
39,5,12,0,0,0,0,0,0,1,1
40,5,12,0,0,0,0,0,0,1,1
41,5,12,0,0,0,0,0,0,1,1
42,5,12,0,0,0,0,0,0,1,1
43,5,12,0,0,0,0,0,0,1,1
44,5,12,0,0,0,0,0,0,1,1
45,5,12,0,0,0,0,0,0,1,1
46,5,12,0,0,0,0,0,0,1,1
47,5,12,0,0,0,0,0,0,1,1
48,5,12,0,0,0,0,0,0,1,1
49,5,12,0,0,0,0,0,0,1,1
50,5,12,0,0,0,0,0,0,1,1
