1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,3,12,0,0,0,0,0,0,1,1
2,3,12,0,0,0,0,0,0,1,1
3,3,12,0,0,0,0,0,0,1,1
4,3,12,0,0,0,0,0,0,1,1
5,3,12,0,0,0,0,0,0,1,1
6,3,12,0,0,0,0,0,0,1,1
7,3,12,0,0,0,0,0,0,1,1
8,3,12,0,0,0,0,0,0,1,1
9,3,12,0,0,0,0,0,0,1,1
10,3,12,0,0,0,0,0,0,1,1
11,3,12,0,0,0,0,0,0,1,1
12,3,12,0,0,0,0,0,0,1,1
13,3,12,0,0,0,0,0,0,1,1
14,3,12,0,0,0,0,0,0,1,1
15,3,12,0,0,0,0,0,0,1,1
16,3,12,0,0,0,0,0,0,1,1
17,3,12,0,0,0,0,0,0,1,1
18,3,12,0,0,0,0,0,0,1,1
19,3,12,0,0,0,0,0,0,1,1
20,3,12,0,0,0,0,0,0,1,1
21,3,12,0,0,0,0,0,0,1,1
22,3,12,0,0,0,0,0,0,1,1
23,3,12,0,0,0,0,0,0,1,1
24,3,12,0,0,0,0,0,0,1,1
25,3,12,0,0,0,0,0,0,1,1
26,3,12,0,0,0,0,0,0,1,1
27,3,12,0,0,0,0,0,0,1,1
28,3,12,0,0,0,0,0,0,1,1
29,3,12,0,0,0,0,0,0,1,1
30,3,12,0,0,0,0,0,0,1,1
31,4,12,0,0,0,0,0,0,1,1
32,4,12,0,0,0,0,0,0,1,1
33,4,12,0,0,0,0,0,0,1,1
34,4,12,0,0,0,0,0,0,1,1
35,4,12,0,0,0,0,0,0,1,1
36,4,12,0,0,0,0,0,0,1,1
37,4,12,0,0,0,0,0,0,1,1
38,4,12,0,0,0,0,0,0,1,1
39,4,12,0,0,0,0,0,0,1,1
40,4,12,0,0,0,0,0,0,1,1
41,4,12,0,0,0,0,0,0,1,1
42,4,12,0,0,0,0,0,0,1,1
43,4,12,0,0,0,0,0,0,1,1
44,4,12,0,0,0,0,0,0,1,1
45,4,12,0,0,0,0,0,0,1,1
46,4,12,0,0,0,0,0,0,1,1
47,4,12,0,0,0,0,0,0,1,1
48,4,12,0,0,0,0,0,0,1,1
49,4,12,0,0,0,0,0,0,1,1
50,4,12,0,0,0,0,0,0,1,1
