1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,0,12,0,0,0,0,0,0,1,6
2,0,12,0,0,0,0,0,0,1,6
3,0,12,0,0,0,0,0,0,1,6
4,0,12,0,0,0,0,0,0,1,6
5,0,12,0,0,0,0,0,0,1,6
6,0,12,0,0,0,0,0,0,1,6
7,0,12,0,0,0,0,0,0,1,6
8,0,12,0,0,0,0,0,0,1,6
9,0,12,0,0,0,0,0,0,1,6
10,0,12,0,0,0,0,0,0,1,6
11,0,12,0,0,0,0,0,0,1,6
12,0,12,0,0,0,0,0,0,1,6
13,0,12,0,0,0,0,0,0,1,6
14,0,12,0,0,0,0,0,0,1,6
15,0,12,0,0,0,0,0,0,1,6
16,0,12,0,0,0,0,0,0,1,6
17,0,12,0,0,0,0,0,0,1,6
18,0,12,0,0,0,0,0,0,1,6
19,0,12,0,0,0,0,0,0,1,6
20,0,12,0,0,0,0,0,0,1,6
21,0,12,0,0,0,0,0,0,1,6
22,0,12,0,0,0,0,0,0,1,6
23,0,12,0,0,0,0,0,0,1,6
24,0,12,0,0,0,0,0,0,1,6
25,0,12,0,0,0,0,0,0,1,6
26,0,12,0,0,0,0,0,0,1,6
27,1,12,0,0,0,0,0,0,1,6
28,1,12,0,0,0,0,0,0,1,6
29,1,12,0,0,0,0,0,0,1,6
30,1,12,0,0,0,0,0,0,1,6
31,1,12,0,0,0,0,0,0,1,6
32,1,12,0,0,0,0,0,0,1,6
33,1,12,0,0,0,0,0,0,1,6
34,1,12,0,0,0,0,0,0,1,6
35,1,12,0,0,0,0,0,0,1,6
36,1,12,0,0,0,0,0,0,1,6
37,1,12,0,0,0,0,0,0,1,6
38,1,12,0,0,0,0,0,0,1,6
39,1,12,0,0,0,0,0,0,1,6
40,1,12,0,0,0,0,0,0,1,6
41,1,12,0,0,0,0,0,0,1,6
42,1,12,0,0,0,0,0,0,1,6
43,1,12,0,0,0,0,0,0,1,6
44,1,12,0,0,0,0,0,0,1,6
45,1,12,0,0,0,0,0,0,1,6
46,1,12,0,0,0,0,0,0,1,6
47,1,12,0,0,0,0,0,0,1,6
48,1,12,0,0,0,0,0,0,1,6
49,1,12,0,0,0,0,0,0,1,6
50,1,12,0,0,0,0,0,0,1,6
