LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;155;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
2;158;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
3;162;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
4;165;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
5;168;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
6;172;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
7;175;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
8;178;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
9;182;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
10;185;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
11;188;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
12;191;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
13;194;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
14;198;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
15;201;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
16;204;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
17;207;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
18;211;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
19;214;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
20;217;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
21;220;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
22;223;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
23;226;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
24;230;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
25;233;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
26;236;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
27;239;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
28;243;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
29;246;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
30;249;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
31;252;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
32;255;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
33;259;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
34;262;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
35;265;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
36;269;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
37;272;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
38;275;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
39;279;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
40;282;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
41;285;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
42;288;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
43;292;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
44;295;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
45;299;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
46;302;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
47;306;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
48;309;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
49;313;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
50;316;5,6;25,0;34,7;1,0;0,0;0,0;1,0;0,0
