1
LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;391;15;0;16.5;0;0.3;0;1;0
2;399;15;0;16.5;0;0.3;0;1;0
3;407;15;0;16.5;0;0.3;0;1;0
4;415;15;0;16.5;0;0.3;0;1;0
5;423;15;0;16.5;0;0.3;0;1;0
6;432;15;0;16.5;0;0.3;0;1;0
7;440;15;0;16.5;0;0.3;0;1;0
8;448;15;0;16.5;0;0.3;0;1;0
9;456;15;0;16.5;0;0.3;0;1;0
10;464;15;0;16.5;0;0.3;0;1;0
11;472;15;0;16.5;0;0.3;0;1;0
12;480;15;0;16.5;0;0.3;0;1;0
13;488;15;0;16.5;0;0.3;0;1;0
14;496;15;0;16.5;0;0.3;0;1;0
15;504;15;0;16.5;0;0.3;0;1;0
16;513;15;0;16.5;0;0.3;0;1;0
17;521;15;0;16.5;0;0.3;0;1;0
18;529;15;0;16.5;0;0.3;0;1;0
19;537;15;0;16.5;0;0.3;0;1;0
20;545;15;0;16.5;0;0.3;0;1;0
21;553;15;0;16.5;0;0.3;0;1;0
22;561;15;0;16.5;0;0.3;0;1;0
23;569;15;0;16.5;0;0.3;0;1;0
24;577;15;0;16.5;0;0.3;0;1;0
25;585;15;0;16.5;0;0.3;0;1;0
26;594;15;0;16.5;0;0.3;0;1;0
27;602;15;0;16.5;0;0.3;0;1;0
28;610;15;0;16.5;0;0.3;0;1;0
29;618;15;0;16.5;0;0.3;0;1;0
30;626;15;0;16.5;0;0.3;0;1;0
31;634;15;0;16.5;0;0.3;0;1;0
32;642;15;0;16.5;0;0.3;0;1;0
33;650;15;0;16.5;0;0.3;0;1;0
34;658;15;0;16.5;0;0.3;0;1;0
35;666;15;0;16.5;0;0.3;0;1;0
36;675;15;0;16.5;0;0.3;0;1;0
37;683;15;0;16.5;0;0.3;0;1;0
38;691;15;0;16.5;0;0.3;0;1;0
39;699;15;0;16.5;0;0.3;0;1;0
40;707;15;0;16.5;0;0.3;0;1;0
41;715;15;0;16.5;0;0.3;0;1;0
42;724;15;0;16.5;0;0.3;0;1;0
43;732;15;0;16.5;0;0.3;0;1;0
44;741;15;0;16.5;0;0.3;0;1;0
45;750;15;0;16.5;0;0.3;0;1;0
46;758;15;0;16.5;0;0.3;0;1;0
47;767;15;0;16.5;0;0.3;0;1;0
48;776;15;0;16.5;0;0.3;0;1;0
49;784;15;0;16.5;0;0.3;0;1;0
50;793;15;0;16.5;0;0.3;0;1;0
