LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;368;15;0;16.5;0;0.3;0;1;0
2;374;15;0;16.5;0;0.3;0;1;0
3;380;15;0;16.5;0;0.3;0;1;0
4;385;15;0;16.5;0;0.3;0;1;0
5;391;15;0;16.5;0;0.3;0;1;0
6;397;15;0;16.5;0;0.3;0;1;0
7;403;15;0;16.5;0;0.3;0;1;0
8;408;15;0;16.5;0;0.3;0;1;0
9;414;15;0;16.5;0;0.3;0;1;0
10;420;15;0;16.5;0;0.3;0;1;0
11;425;15;0;16.5;0;0.3;0;1;0
12;431;15;0;16.5;0;0.3;0;1;0
13;437;15;0;16.5;0;0.3;0;1;0
14;442;15;0;16.5;0;0.3;0;1;0
15;448;15;0;16.5;0;0.3;0;1;0
16;454;15;0;16.5;0;0.3;0;1;0
17;460;15;0;16.5;0;0.3;0;1;0
18;465;15;0;16.5;0;0.3;0;1;0
19;471;15;0;16.5;0;0.3;0;1;0
20;477;15;0;16.5;0;0.3;0;1;0
21;482;15;0;16.5;0;0.3;0;1;0
22;488;15;0;16.5;0;0.3;0;1;0
23;494;15;0;16.5;0;0.3;0;1;0
24;499;15;0;16.5;0;0.3;0;1;0
25;505;15;0;16.5;0;0.3;0;1;0
26;511;15;0;16.5;0;0.3;0;1;0
27;517;15;0;16.5;0;0.3;0;1;0
28;522;15;0;16.5;0;0.3;0;1;0
29;528;15;0;16.5;0;0.3;0;1;0
30;534;15;0;16.5;0;0.3;0;1;0
31;539;15;0;16.5;0;0.3;0;1;0
32;545;15;0;16.5;0;0.3;0;1;0
33;551;15;0;16.5;0;0.3;0;1;0
34;556;15;0;16.5;0;0.3;0;1;0
35;562;15;0;16.5;0;0.3;0;1;0
36;568;15;0;16.5;0;0.3;0;1;0
37;574;15;0;16.5;0;0.3;0;1;0
38;579;15;0;16.5;0;0.3;0;1;0
39;585;15;0;16.5;0;0.3;0;1;0
40;591;15;0;16.5;0;0.3;0;1;0
41;596;15;0;16.5;0;0.3;0;1;0
42;602;15;0;16.5;0;0.3;0;1;0
43;608;15;0;16.5;0;0.3;0;1;0
44;614;15;0;16.5;0;0.3;0;1;0
45;620;15;0;16.5;0;0.3;0;1;0
46;627;15;0;16.5;0;0.3;0;1;0
47;633;15;0;16.5;0;0.3;0;1;0
48;639;15;0;16.5;0;0.3;0;1;0
49;645;15;0;16.5;0;0.3;0;1;0
50;651;15;0;16.5;0;0.3;0;1;0
