1
LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;220;11.1;7;0;0;1;0;1;0
2;222;11.1;7;0;0;1;0;1;0
3;224;11.1;7;0;0;1;0;1;0
4;226;11.1;7;0;0;1;0;1;0
5;228;11.1;7;0;0;1;0;1;0
6;229;11.1;7;0;0;1;0;1;0
7;231;11.1;7;0;0;1;0;1;0
8;233;11.1;7;0;0;1;0;1;0
9;235;11.1;7;0;0;1;0;1;0
10;237;11.1;7;0;0;1;0;1;0
11;238;11.1;7;0;0;1;0;1;0
12;240;11.1;7;0;0;1;0;1;0
13;242;11.1;7;0;0;1;0;1;0
14;244;11.1;7;0;0;1;0;1;0
15;246;11.1;7;0;0;1;0;1;0
16;247;11.1;7;0;0;1;0;1;0
17;249;11.1;7;0;0;1;0;1;0
18;251;11.1;7;0;0;1;0;1;0
19;253;11.1;7;0;0;1;0;1;0
20;255;11.1;7;0;0;1;0;1;0
21;256;11.1;7;0;0;1;0;1;0
22;258;11.1;7;0;0;1;0;1;0
23;260;11.1;7;0;0;1;0;1;0
24;262;11.1;7;0;0;1;0;1;0
25;264;11.1;7;0;0;1;0;1;0
26;265;11.1;7;0;0;1;0;1;0
27;267;11.1;7;0;0;1;0;1;0
28;269;11.1;7;0;0;1;0;1;0
29;271;11.1;7;0;0;1;0;1;0
30;273;11.1;7;0;0;1;0;1;0
31;274;11.1;7;0;0;1;0;1;0
32;276;11.1;7;0;0;1;0;1;0
33;278;11.1;7;0;0;1;0;1;0
34;280;11.1;7;0;0;1;0;1;0
35;282;11.1;7;0;0;1;0;1;0
36;283;11.1;7;0;0;1;0;1;0
37;285;11.1;7;0;0;1;0;1;0
38;287;11.1;7;0;0;1;0;1;0
39;289;11.1;7;0;0;1;0;1;0
40;291;11.1;7;0;0;1;0;1;0
41;292;11.1;7;0;0;1;0;1;0
42;294;11.1;7;0;0;1;0;1;0
43;295;11.1;7;0;0;1;0;1;0
44;297;11.1;7;0;0;1;0;1;0
45;299;11.1;7;0;0;1;0;1;0
46;300;11.1;7;0;0;1;0;1;0
47;302;11.1;7;0;0;1;0;1;0
48;304;11.1;7;0;0;1;0;1;0
49;305;11.1;7;0;0;1;0;1;0
50;307;11.1;7;0;0;1;0;1;0
