LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;509;11.1;7;0;0;1;0;1;0
2;514;11.1;7;0;0;1;0;1;0
3;518;11.1;7;0;0;1;0;1;0
4;523;11.1;7;0;0;1;0;1;0
5;528;11.1;7;0;0;1;0;1;0
6;532;11.1;7;0;0;1;0;1;0
7;537;11.1;7;0;0;1;0;1;0
8;542;11.1;7;0;0;1;0;1;0
9;546;11.1;7;0;0;1;0;1;0
10;551;11.1;7;0;0;1;0;1;0
11;555;11.1;7;0;0;1;0;1;0
12;560;11.1;7;0;0;1;0;1;0
13;564;11.1;7;0;0;1;0;1;0
14;569;11.1;7;0;0;1;0;1;0
15;574;11.1;7;0;0;1;0;1;0
16;578;11.1;7;0;0;1;0;1;0
17;583;11.1;7;0;0;1;0;1;0
18;588;11.1;7;0;0;1;0;1;0
19;592;11.1;7;0;0;1;0;1;0
20;597;11.1;7;0;0;1;0;1;0
21;601;11.1;7;0;0;1;0;1;0
22;606;11.1;7;0;0;1;0;1;0
23;610;11.1;7;0;0;1;0;1;0
24;615;11.1;7;0;0;1;0;1;0
25;620;11.1;7;0;0;1;0;1;0
26;624;11.1;7;0;0;1;0;1;0
27;629;11.1;7;0;0;1;0;1;0
28;634;11.1;7;0;0;1;0;1;0
29;638;11.1;7;0;0;1;0;1;0
30;643;11.1;7;0;0;1;0;1;0
31;647;11.1;7;0;0;1;0;1;0
32;652;11.1;7;0;0;1;0;1;0
33;656;11.1;7;0;0;1;0;1;0
34;661;11.1;7;0;0;1;0;1;0
35;666;11.1;7;0;0;1;0;1;0
36;670;11.1;7;0;0;1;0;1;0
37;675;11.1;7;0;0;1;0;1;0
38;680;11.1;7;0;0;1;0;1;0
39;684;11.1;7;0;0;1;0;1;0
40;689;11.1;7;0;0;1;0;1;0
41;693;11.1;7;0;0;1;0;1;0
42;698;11.1;7;0;0;1;0;1;0
43;703;11.1;7;0;0;1;0;1;0
44;708;11.1;7;0;0;1;0;1;0
45;713;11.1;7;0;0;1;0;1;0
46;717;11.1;7;0;0;1;0;1;0
47;722;11.1;7;0;0;1;0;1;0
48;727;11.1;7;0;0;1;0;1;0
49;732;11.1;7;0;0;1;0;1;0
50;737;11.1;7;0;0;1;0;1;0
