1
LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;234;11.1;7;0;0;1;0;1;0
2;238;11.1;7;0;0;1;0;1;0
3;241;11.1;7;0;0;1;0;1;0
4;245;11.1;7;0;0;1;0;1;0
5;249;11.1;7;0;0;1;0;1;0
6;252;11.1;7;0;0;1;0;1;0
7;256;11.1;7;0;0;1;0;1;0
8;260;11.1;7;0;0;1;0;1;0
9;263;11.1;7;0;0;1;0;1;0
10;267;11.1;7;0;0;1;0;1;0
11;270;11.1;7;0;0;1;0;1;0
12;274;11.1;7;0;0;1;0;1;0
13;277;11.1;7;0;0;1;0;1;0
14;281;11.1;7;0;0;1;0;1;0
15;285;11.1;7;0;0;1;0;1;0
16;288;11.1;7;0;0;1;0;1;0
17;292;11.1;7;0;0;1;0;1;0
18;296;11.1;7;0;0;1;0;1;0
19;299;11.1;7;0;0;1;0;1;0
20;303;11.1;7;0;0;1;0;1;0
21;306;11.1;7;0;0;1;0;1;0
22;310;11.1;7;0;0;1;0;1;0
23;313;11.1;7;0;0;1;0;1;0
24;317;11.1;7;0;0;1;0;1;0
25;321;11.1;7;0;0;1;0;1;0
26;324;11.1;7;0;0;1;0;1;0
27;328;11.1;7;0;0;1;0;1;0
28;332;11.1;7;0;0;1;0;1;0
29;335;11.1;7;0;0;1;0;1;0
30;339;11.1;7;0;0;1;0;1;0
31;342;11.1;7;0;0;1;0;1;0
32;346;11.1;7;0;0;1;0;1;0
33;349;11.1;7;0;0;1;0;1;0
34;353;11.1;7;0;0;1;0;1;0
35;357;11.1;7;0;0;1;0;1;0
36;360;11.1;7;0;0;1;0;1;0
37;364;11.1;7;0;0;1;0;1;0
38;368;11.1;7;0;0;1;0;1;0
39;371;11.1;7;0;0;1;0;1;0
40;375;11.1;7;0;0;1;0;1;0
41;378;11.1;7;0;0;1;0;1;0
42;382;11.1;7;0;0;1;0;1;0
43;386;11.1;7;0;0;1;0;1;0
44;390;11.1;7;0;0;1;0;1;0
45;394;11.1;7;0;0;1;0;1;0
46;398;11.1;7;0;0;1;0;1;0
47;402;11.1;7;0;0;1;0;1;0
48;406;11.1;7;0;0;1;0;1;0
49;410;11.1;7;0;0;1;0;1;0
50;414;11.1;7;0;0;1;0;1;0
