2
LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;29;17;22;0;0;4;0;1;15
2;29;17;22;0;0;4;0;1;15
3;29;17;22;0;0;4;0;1;15
4;30;17;22;0;0;4;0;1;15
5;30;17;22;0;0;4;0;1;15
6;30;17;22;0;0;4;0;1;15
7;30;17;22;0;0;4;0;1;15
8;31;17;22;0;0;4;0;1;15
9;31;17;22;0;0;4;0;1;15
10;31;17;22;0;0;4;0;1;15
11;31;17;22;0;0;4;0;1;15
12;31;17;22;0;0;4;0;1;15
13;31;17;22;0;0;4;0;1;15
14;32;17;22;0;0;4;0;1;15
15;32;17;22;0;0;4;0;1;15
16;32;17;22;0;0;4;0;1;15
17;32;17;22;0;0;4;0;1;15
18;33;17;22;0;0;4;0;1;15
19;33;17;22;0;0;4;0;1;15
20;33;17;22;0;0;4;0;1;15
21;33;17;22;0;0;4;0;1;15
22;33;17;22;0;0;4;0;1;15
23;33;17;22;0;0;4;0;1;15
24;34;17;22;0;0;4;0;1;15
25;34;17;22;0;0;4;0;1;15
26;34;17;22;0;0;4;0;1;15
27;34;17;22;0;0;4;0;1;15
28;35;17;22;0;0;4;0;1;15
29;35;17;22;0;0;4;0;1;15
30;35;17;22;0;0;4;0;1;15
31;35;17;22;0;0;4;0;1;15
32;35;17;22;0;0;4;0;1;15
33;35;17;22;0;0;4;0;1;15
34;36;17;22;0;0;4;0;1;15
35;36;17;22;0;0;4;0;1;15
36;36;17;22;0;0;4;0;1;15
37;36;17;22;0;0;4;0;1;15
38;37;17;22;0;0;4;0;1;15
39;37;17;22;0;0;4;0;1;15
40;37;17;22;0;0;4;0;1;15
41;37;17;22;0;0;4;0;1;15
42;37;17;22;0;0;4;0;1;15
43;38;17;22;0;0;4;0;1;15
44;38;17;22;0;0;4;0;1;15
45;39;17;22;0;0;4;0;1;15
46;39;17;22;0;0;4;0;1;15
47;40;17;22;0;0;4;0;1;15
48;40;17;22;0;0;4;0;1;15
49;41;17;22;0;0;4;0;1;15
50;41;17;22;0;0;4;0;1;15
