2
LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;33;17;22;0;0;4;0;1;15
2;34;17;22;0;0;4;0;1;15
3;35;17;22;0;0;4;0;1;15
4;35;17;22;0;0;4;0;1;15
5;36;17;22;0;0;4;0;1;15
6;37;17;22;0;0;4;0;1;15
7;38;17;22;0;0;4;0;1;15
8;38;17;22;0;0;4;0;1;15
9;39;17;22;0;0;4;0;1;15
10;40;17;22;0;0;4;0;1;15
11;39;17;22;0;0;4;0;1;15
12;40;17;22;0;0;4;0;1;15
13;41;17;22;0;0;4;0;1;15
14;41;17;22;0;0;4;0;1;15
15;42;17;22;0;0;4;0;1;15
16;43;17;22;0;0;4;0;1;15
17;44;17;22;0;0;4;0;1;15
18;44;17;22;0;0;4;0;1;15
19;45;17;22;0;0;4;0;1;15
20;46;17;22;0;0;4;0;1;15
21;46;17;22;0;0;4;0;1;15
22;47;17;22;0;0;4;0;1;15
23;48;17;22;0;0;4;0;1;15
24;48;17;22;0;0;4;0;1;15
25;49;17;22;0;0;4;0;1;15
26;50;17;22;0;0;4;0;1;15
27;51;17;22;0;0;4;0;1;15
28;51;17;22;0;0;4;0;1;15
29;52;17;22;0;0;4;0;1;15
30;53;17;22;0;0;4;0;1;15
31;53;17;22;0;0;4;0;1;15
32;54;17;22;0;0;4;0;1;15
33;55;17;22;0;0;4;0;1;15
34;55;17;22;0;0;4;0;1;15
35;56;17;22;0;0;4;0;1;15
36;57;17;22;0;0;4;0;1;15
37;58;17;22;0;0;4;0;1;15
38;58;17;22;0;0;4;0;1;15
39;59;17;22;0;0;4;0;1;15
40;60;17;22;0;0;4;0;1;15
41;59;17;22;0;0;4;0;1;15
42;60;17;22;0;0;4;0;1;15
43;61;17;22;0;0;4;0;1;15
44;61;17;22;0;0;4;0;1;15
45;62;17;22;0;0;4;0;1;15
46;63;17;22;0;0;4;0;1;15
47;64;17;22;0;0;4;0;1;15
48;64;17;22;0;0;4;0;1;15
49;65;17;22;0;0;4;0;1;15
50;66;17;22;0;0;4;0;1;15
