2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,31,17,22,0,0,0,4,0,1,15
2,32,17,22,0,0,0,4,0,1,15
3,32,17,22,0,0,0,4,0,1,15
4,33,17,22,0,0,0,4,0,1,15
5,33,17,22,0,0,0,4,0,1,15
6,34,17,22,0,0,0,4,0,1,15
7,34,17,22,0,0,0,4,0,1,15
8,35,17,22,0,0,0,4,0,1,15
9,35,17,22,0,0,0,4,0,1,15
10,36,17,22,0,0,0,4,0,1,15
11,36,17,22,0,0,0,4,0,1,15
12,37,17,22,0,0,0,4,0,1,15
13,37,17,22,0,0,0,4,0,1,15
14,38,17,22,0,0,0,4,0,1,15
15,38,17,22,0,0,0,4,0,1,15
16,39,17,22,0,0,0,4,0,1,15
17,39,17,22,0,0,0,4,0,1,15
18,40,17,22,0,0,0,4,0,1,15
19,40,17,22,0,0,0,4,0,1,15
20,41,17,22,0,0,0,4,0,1,15
21,40,17,22,0,0,0,4,0,1,15
22,41,17,22,0,0,0,4,0,1,15
23,41,17,22,0,0,0,4,0,1,15
24,42,17,22,0,0,0,4,0,1,15
25,42,17,22,0,0,0,4,0,1,15
26,43,17,22,0,0,0,4,0,1,15
27,43,17,22,0,0,0,4,0,1,15
28,44,17,22,0,0,0,4,0,1,15
29,44,17,22,0,0,0,4,0,1,15
30,45,17,22,0,0,0,4,0,1,15
31,45,17,22,0,0,0,4,0,1,15
32,46,17,22,0,0,0,4,0,1,15
33,46,17,22,0,0,0,4,0,1,15
34,47,17,22,0,0,0,4,0,1,15
35,47,17,22,0,0,0,4,0,1,15
36,48,17,22,0,0,0,4,0,1,15
37,48,17,22,0,0,0,4,0,1,15
38,49,17,22,0,0,0,4,0,1,15
39,49,17,22,0,0,0,4,0,1,15
40,50,17,22,0,0,0,4,0,1,15
41,50,17,22,0,0,0,4,0,1,15
42,51,17,22,0,0,0,4,0,1,15
43,51,17,22,0,0,0,4,0,1,15
44,52,17,22,0,0,0,4,0,1,15
45,52,17,22,0,0,0,4,0,1,15
46,53,17,22,0,0,0,4,0,1,15
47,53,17,22,0,0,0,4,0,1,15
48,54,17,22,0,0,0,4,0,1,15
49,54,17,22,0,0,0,4,0,1,15
50,55,17,22,0,0,0,4,0,1,15
