2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,20,14.7,0,0,0,0,5,0,1,8.5
2,21,14.7,0,0,0,0,5,0,1,8.5
3,21,14.7,0,0,0,0,5,0,1,8.5
4,22,14.7,0,0,0,0,5,0,1,8.5
5,22,14.7,0,0,0,0,5,0,1,8.5
6,23,14.7,0,0,0,0,5,0,1,8.5
7,23,14.7,0,0,0,0,5,0,1,8.5
8,24,14.7,0,0,0,0,5,0,1,8.5
9,24,14.7,0,0,0,0,5,0,1,8.5
10,25,14.7,0,0,0,0,5,0,1,8.5
11,25,14.7,0,0,0,0,5,0,1,8.5
12,26,14.7,0,0,0,0,5,0,1,8.5
13,26,14.7,0,0,0,0,5,0,1,8.5
14,27,14.7,0,0,0,0,5,0,1,8.5
15,27,14.7,0,0,0,0,5,0,1,8.5
16,28,14.7,0,0,0,0,5,0,1,8.5
17,28,14.7,0,0,0,0,5,0,1,8.5
18,29,14.7,0,0,0,0,5,0,1,8.5
19,29,14.7,0,0,0,0,5,0,1,8.5
20,30,14.7,0,0,0,0,5,0,1,8.5
21,30,14.7,0,0,0,0,5,0,1,8.5
22,31,14.7,0,0,0,0,5,0,1,8.5
23,31,14.7,0,0,0,0,5,0,1,8.5
24,32,14.7,0,0,0,0,5,0,1,8.5
25,32,14.7,0,0,0,0,5,0,1,8.5
26,33,14.7,0,0,0,0,5,0,1,8.5
27,33,14.7,0,0,0,0,5,0,1,8.5
28,34,14.7,0,0,0,0,5,0,1,8.5
29,34,14.7,0,0,0,0,5,0,1,8.5
30,35,14.7,0,0,0,0,5,0,1,8.5
31,35,14.7,0,0,0,0,5,0,1,8.5
32,36,14.7,0,0,0,0,5,0,1,8.5
33,36,14.7,0,0,0,0,5,0,1,8.5
34,37,14.7,0,0,0,0,5,0,1,8.5
35,37,14.7,0,0,0,0,5,0,1,8.5
36,38,14.7,0,0,0,0,5,0,1,8.5
37,38,14.7,0,0,0,0,5,0,1,8.5
38,39,14.7,0,0,0,0,5,0,1,8.5
39,39,14.7,0,0,0,0,5,0,1,8.5
40,40,14.7,0,0,0,0,5,0,1,8.5
41,40,14.7,0,0,0,0,5,0,1,8.5
42,41,14.7,0,0,0,0,5,0,1,8.5
43,41,14.7,0,0,0,0,5,0,1,8.5
44,42,14.7,0,0,0,0,5,0,1,8.5
45,42,14.7,0,0,0,0,5,0,1,8.5
46,43,14.7,0,0,0,0,5,0,1,8.5
47,43,14.7,0,0,0,0,5,0,1,8.5
48,44,14.7,0,0,0,0,5,0,1,8.5
49,44,14.7,0,0,0,0,5,0,1,8.5
50,45,14.7,0,0,0,0,5,0,1,8.5
