LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;29;14.7;0;0;0;5;0;1;8.5
2;30;14.7;0;0;0;5;0;1;8.5
3;30;14.7;0;0;0;5;0;1;8.5
4;31;14.7;0;0;0;5;0;1;8.5
5;32;14.7;0;0;0;5;0;1;8.5
6;32;14.7;0;0;0;5;0;1;8.5
7;33;14.7;0;0;0;5;0;1;8.5
8;34;14.7;0;0;0;5;0;1;8.5
9;34;14.7;0;0;0;5;0;1;8.5
10;35;14.7;0;0;0;5;0;1;8.5
11;35;14.7;0;0;0;5;0;1;8.5
12;36;14.7;0;0;0;5;0;1;8.5
13;36;14.7;0;0;0;5;0;1;8.5
14;37;14.7;0;0;0;5;0;1;8.5
15;38;14.7;0;0;0;5;0;1;8.5
16;38;14.7;0;0;0;5;0;1;8.5
17;39;14.7;0;0;0;5;0;1;8.5
18;40;14.7;0;0;0;5;0;1;8.5
19;40;14.7;0;0;0;5;0;1;8.5
20;41;14.7;0;0;0;5;0;1;8.5
21;41;14.7;0;0;0;5;0;1;8.5
22;42;14.7;0;0;0;5;0;1;8.5
23;42;14.7;0;0;0;5;0;1;8.5
24;43;14.7;0;0;0;5;0;1;8.5
25;44;14.7;0;0;0;5;0;1;8.5
26;44;14.7;0;0;0;5;0;1;8.5
27;45;14.7;0;0;0;5;0;1;8.5
28;46;14.7;0;0;0;5;0;1;8.5
29;46;14.7;0;0;0;5;0;1;8.5
30;47;14.7;0;0;0;5;0;1;8.5
31;47;14.7;0;0;0;5;0;1;8.5
32;48;14.7;0;0;0;5;0;1;8.5
33;48;14.7;0;0;0;5;0;1;8.5
34;49;14.7;0;0;0;5;0;1;8.5
35;50;14.7;0;0;0;5;0;1;8.5
36;50;14.7;0;0;0;5;0;1;8.5
37;51;14.7;0;0;0;5;0;1;8.5
38;52;14.7;0;0;0;5;0;1;8.5
39;52;14.7;0;0;0;5;0;1;8.5
40;53;14.7;0;0;0;5;0;1;8.5
41;53;14.7;0;0;0;5;0;1;8.5
42;54;14.7;0;0;0;5;0;1;8.5
43;54;14.7;0;0;0;5;0;1;8.5
44;55;14.7;0;0;0;5;0;1;8.5
45;56;14.7;0;0;0;5;0;1;8.5
46;56;14.7;0;0;0;5;0;1;8.5
47;57;14.7;0;0;0;5;0;1;8.5
48;58;14.7;0;0;0;5;0;1;8.5
49;58;14.7;0;0;0;5;0;1;8.5
50;59;14.7;0;0;0;5;0;1;8.5
