1
LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;398;11.1;40;39.6;5.0;0;0;1;0
2;402;11.1;40;39.6;5.0;0;0;1;0
3;405;11.1;40;39.6;5.0;0;0;1;0
4;409;11.1;40;39.6;5.0;0;0;1;0
5;412;11.1;40;39.6;5.0;0;0;1;0
6;416;11.1;40;39.6;5.0;0;0;1;0
7;419;11.1;40;39.6;5.0;0;0;1;0
8;423;11.1;40;39.6;5.0;0;0;1;0
9;426;11.1;40;39.6;5.0;0;0;1;0
10;430;11.1;40;39.6;5.0;0;0;1;0
11;433;11.1;40;39.6;5.0;0;0;1;0
12;437;11.1;40;39.6;5.0;0;0;1;0
13;440;11.1;40;39.6;5.0;0;0;1;0
14;444;11.1;40;39.6;5.0;0;0;1;0
15;447;11.1;40;39.6;5.0;0;0;1;0
16;451;11.1;40;39.6;5.0;0;0;1;0
17;454;11.1;40;39.6;5.0;0;0;1;0
18;458;11.1;40;39.6;5.0;0;0;1;0
19;461;11.1;40;39.6;5.0;0;0;1;0
20;465;11.1;40;39.6;5.0;0;0;1;0
21;468;11.1;40;39.6;5.0;0;0;1;0
22;472;11.1;40;39.6;5.0;0;0;1;0
23;475;11.1;40;39.6;5.0;0;0;1;0
24;479;11.1;40;39.6;5.0;0;0;1;0
25;482;11.1;40;39.6;5.0;0;0;1;0
26;486;11.1;40;39.6;5.0;0;0;1;0
27;489;11.1;40;39.6;5.0;0;0;1;0
28;493;11.1;40;39.6;5.0;0;0;1;0
29;496;11.1;40;39.6;5.0;0;0;1;0
30;500;11.1;40;39.6;5.0;0;0;1;0
31;503;11.1;40;39.6;5.0;0;0;1;0
32;507;11.1;40;39.6;5.0;0;0;1;0
33;510;11.1;40;39.6;5.0;0;0;1;0
34;514;11.1;40;39.6;5.0;0;0;1;0
35;517;11.1;40;39.6;5.0;0;0;1;0
36;521;11.1;40;39.6;5.0;0;0;1;0
37;524;11.1;40;39.6;5.0;0;0;1;0
38;528;11.1;40;39.6;5.0;0;0;1;0
39;531;11.1;40;39.6;5.0;0;0;1;0
40;535;11.1;40;39.6;5.0;0;0;1;0
41;538;11.1;40;39.6;5.0;0;0;1;0
42;542;11.1;40;39.6;5.0;0;0;1;0
43;546;11.1;40;39.6;5.0;0;0;1;0
44;551;11.1;40;39.6;5.0;0;0;1;0
45;555;11.1;40;39.6;5.0;0;0;1;0
46;559;11.1;40;39.6;5.0;0;0;1;0
47;563;11.1;40;39.6;5.0;0;0;1;0
48;568;11.1;40;39.6;5.0;0;0;1;0
49;572;11.1;40;39.6;5.0;0;0;1;0
50;576;11.1;40;39.6;5.0;0;0;1;0
