1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,170,5.6,25,34.7,1.0,2,0,0,1,0
2,174,5.6,25,34.7,1.0,2,0,0,1,0
3,179,5.6,25,34.7,1.0,2,0,0,1,0
4,183,5.6,25,34.7,1.0,2,0,0,1,0
5,187,5.6,25,34.7,1.0,2,0,0,1,0
6,192,5.6,25,34.7,1.0,2,0,0,1,0
7,196,5.6,25,34.7,1.0,2,0,0,1,0
8,200,5.6,25,34.7,1.0,2,0,0,1,0
9,205,5.6,25,34.7,1.0,2,0,0,1,0
10,209,5.6,25,34.7,1.0,2,0,0,1,0
11,212,5.6,25,34.7,1.0,2,0,0,1,0
12,216,5.6,25,34.7,1.0,2,0,0,1,0
13,221,5.6,25,34.7,1.0,2,0,0,1,0
14,225,5.6,25,34.7,1.0,2,0,0,1,0
15,229,5.6,25,34.7,1.0,2,0,0,1,0
16,234,5.6,25,34.7,1.0,2,0,0,1,0
17,238,5.6,25,34.7,1.0,2,0,0,1,0
18,242,5.6,25,34.7,1.0,2,0,0,1,0
19,247,5.6,25,34.7,1.0,2,0,0,1,0
20,251,5.6,25,34.7,1.0,2,0,0,1,0
21,255,5.6,25,34.7,1.0,2,0,0,1,0
22,259,5.6,25,34.7,1.0,2,0,0,1,0
23,264,5.6,25,34.7,1.0,2,0,0,1,0
24,268,5.6,25,34.7,1.0,2,0,0,1,0
25,272,5.6,25,34.7,1.0,2,0,0,1,0
26,277,5.6,25,34.7,1.0,2,0,0,1,0
27,281,5.6,25,34.7,1.0,2,0,0,1,0
28,285,5.6,25,34.7,1.0,2,0,0,1,0
29,290,5.6,25,34.7,1.0,2,0,0,1,0
30,294,5.6,25,34.7,1.0,2,0,0,1,0
31,298,5.6,25,34.7,1.0,2,0,0,1,0
32,302,5.6,25,34.7,1.0,2,0,0,1,0
33,307,5.6,25,34.7,1.0,2,0,0,1,0
34,311,5.6,25,34.7,1.0,2,0,0,1,0
35,315,5.6,25,34.7,1.0,2,0,0,1,0
36,320,5.6,25,34.7,1.0,2,0,0,1,0
37,324,5.6,25,34.7,1.0,2,0,0,1,0
38,328,5.6,25,34.7,1.0,2,0,0,1,0
39,333,5.6,25,34.7,1.0,2,0,0,1,0
40,337,5.6,25,34.7,1.0,2,0,0,1,0
41,341,5.6,25,34.7,1.0,2,0,0,1,0
42,346,5.6,25,34.7,1.0,2,0,0,1,0
43,351,5.6,25,34.7,1.0,2,0,0,1,0
44,355,5.6,25,34.7,1.0,2,0,0,1,0
45,360,5.6,25,34.7,1.0,2,0,0,1,0
46,365,5.6,25,34.7,1.0,2,0,0,1,0
47,370,5.6,25,34.7,1.0,2,0,0,1,0
48,374,5.6,25,34.7,1.0,2,0,0,1,0
49,379,5.6,25,34.7,1.0,2,0,0,1,0
50,384,5.6,25,34.7,1.0,2,0,0,1,0
