LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;316;11;25;0;0;3;0;1;0
2;319;11;25;0;0;3;0;1;0
3;321;11;25;0;0;3;0;1;0
4;324;11;25;0;0;3;0;1;0
5;327;11;25;0;0;3;0;1;0
6;329;11;25;0;0;3;0;1;0
7;332;11;25;0;0;3;0;1;0
8;335;11;25;0;0;3;0;1;0
9;337;11;25;0;0;3;0;1;0
10;340;11;25;0;0;3;0;1;0
11;342;11;25;0;0;3;0;1;0
12;345;11;25;0;0;3;0;1;0
13;347;11;25;0;0;3;0;1;0
14;350;11;25;0;0;3;0;1;0
15;352;11;25;0;0;3;0;1;0
16;355;11;25;0;0;3;0;1;0
17;357;11;25;0;0;3;0;1;0
18;360;11;25;0;0;3;0;1;0
19;362;11;25;0;0;3;0;1;0
20;365;11;25;0;0;3;0;1;0
21;367;11;25;0;0;3;0;1;0
22;370;11;25;0;0;3;0;1;0
23;372;11;25;0;0;3;0;1;0
24;375;11;25;0;0;3;0;1;0
25;378;11;25;0;0;3;0;1;0
26;380;11;25;0;0;3;0;1;0
27;383;11;25;0;0;3;0;1;0
28;386;11;25;0;0;3;0;1;0
29;388;11;25;0;0;3;0;1;0
30;391;11;25;0;0;3;0;1;0
31;393;11;25;0;0;3;0;1;0
32;396;11;25;0;0;3;0;1;0
33;398;11;25;0;0;3;0;1;0
34;401;11;25;0;0;3;0;1;0
35;404;11;25;0;0;3;0;1;0
36;406;11;25;0;0;3;0;1;0
37;409;11;25;0;0;3;0;1;0
38;412;11;25;0;0;3;0;1;0
39;414;11;25;0;0;3;0;1;0
40;417;11;25;0;0;3;0;1;0
41;418;11;25;0;0;3;0;1;0
42;421;11;25;0;0;3;0;1;0
43;423;11;25;0;0;3;0;1;0
44;426;11;25;0;0;3;0;1;0
45;429;11;25;0;0;3;0;1;0
46;431;11;25;0;0;3;0;1;0
47;434;11;25;0;0;3;0;1;0
48;437;11;25;0;0;3;0;1;0
49;439;11;25;0;0;3;0;1;0
50;442;11;25;0;0;3;0;1;0
