LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;390;11;25;0;0;3;0;1;0
2;400;11;25;0;0;3;0;1;0
3;410;11;25;0;0;3;0;1;0
4;420;11;25;0;0;3;0;1;0
5;430;11;25;0;0;3;0;1;0
6;439;11;25;0;0;3;0;1;0
7;449;11;25;0;0;3;0;1;0
8;459;11;25;0;0;3;0;1;0
9;469;11;25;0;0;3;0;1;0
10;479;11;25;0;0;3;0;1;0
11;489;11;25;0;0;3;0;1;0
12;499;11;25;0;0;3;0;1;0
13;509;11;25;0;0;3;0;1;0
14;519;11;25;0;0;3;0;1;0
15;529;11;25;0;0;3;0;1;0
16;538;11;25;0;0;3;0;1;0
17;548;11;25;0;0;3;0;1;0
18;558;11;25;0;0;3;0;1;0
19;568;11;25;0;0;3;0;1;0
20;578;11;25;0;0;3;0;1;0
21;588;11;25;0;0;3;0;1;0
22;598;11;25;0;0;3;0;1;0
23;608;11;25;0;0;3;0;1;0
24;618;11;25;0;0;3;0;1;0
25;628;11;25;0;0;3;0;1;0
26;637;11;25;0;0;3;0;1;0
27;647;11;25;0;0;3;0;1;0
28;657;11;25;0;0;3;0;1;0
29;667;11;25;0;0;3;0;1;0
30;677;11;25;0;0;3;0;1;0
31;686;11;25;0;0;3;0;1;0
32;696;11;25;0;0;3;0;1;0
33;706;11;25;0;0;3;0;1;0
34;716;11;25;0;0;3;0;1;0
35;726;11;25;0;0;3;0;1;0
36;736;11;25;0;0;3;0;1;0
37;746;11;25;0;0;3;0;1;0
38;756;11;25;0;0;3;0;1;0
39;766;11;25;0;0;3;0;1;0
40;776;11;25;0;0;3;0;1;0
41;785;11;25;0;0;3;0;1;0
42;796;11;25;0;0;3;0;1;0
43;807;11;25;0;0;3;0;1;0
44;818;11;25;0;0;3;0;1;0
45;829;11;25;0;0;3;0;1;0
46;839;11;25;0;0;3;0;1;0
47;850;11;25;0;0;3;0;1;0
48;861;11;25;0;0;3;0;1;0
49;872;11;25;0;0;3;0;1;0
50;883;11;25;0;0;3;0;1;0
