LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;357;11;25;0;0;3;0;1;0
2;364;11;25;0;0;3;0;1;0
3;372;11;25;0;0;3;0;1;0
4;379;11;25;0;0;3;0;1;0
5;386;11;25;0;0;3;0;1;0
6;394;11;25;0;0;3;0;1;0
7;401;11;25;0;0;3;0;1;0
8;408;11;25;0;0;3;0;1;0
9;416;11;25;0;0;3;0;1;0
10;423;11;25;0;0;3;0;1;0
11;430;11;25;0;0;3;0;1;0
12;437;11;25;0;0;3;0;1;0
13;445;11;25;0;0;3;0;1;0
14;452;11;25;0;0;3;0;1;0
15;459;11;25;0;0;3;0;1;0
16;467;11;25;0;0;3;0;1;0
17;474;11;25;0;0;3;0;1;0
18;481;11;25;0;0;3;0;1;0
19;489;11;25;0;0;3;0;1;0
20;496;11;25;0;0;3;0;1;0
21;503;11;25;0;0;3;0;1;0
22;510;11;25;0;0;3;0;1;0
23;518;11;25;0;0;3;0;1;0
24;525;11;25;0;0;3;0;1;0
25;533;11;25;0;0;3;0;1;0
26;540;11;25;0;0;3;0;1;0
27;548;11;25;0;0;3;0;1;0
28;555;11;25;0;0;3;0;1;0
29;563;11;25;0;0;3;0;1;0
30;570;11;25;0;0;3;0;1;0
31;576;11;25;0;0;3;0;1;0
32;583;11;25;0;0;3;0;1;0
33;591;11;25;0;0;3;0;1;0
34;598;11;25;0;0;3;0;1;0
35;606;11;25;0;0;3;0;1;0
36;613;11;25;0;0;3;0;1;0
37;621;11;25;0;0;3;0;1;0
38;628;11;25;0;0;3;0;1;0
39;636;11;25;0;0;3;0;1;0
40;643;11;25;0;0;3;0;1;0
41;649;11;25;0;0;3;0;1;0
42;657;11;25;0;0;3;0;1;0
43;666;11;25;0;0;3;0;1;0
44;674;11;25;0;0;3;0;1;0
45;682;11;25;0;0;3;0;1;0
46;691;11;25;0;0;3;0;1;0
47;699;11;25;0;0;3;0;1;0
48;707;11;25;0;0;3;0;1;0
49;716;11;25;0;0;3;0;1;0
50;724;11;25;0;0;3;0;1;0
