1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,441,0,0,0,0,0,0,0,0,0
2,452,0,0,0,0,0,0,0,0,0
3,463,0,0,0,0,0,0,0,0,0
4,475,0,0,0,0,0,0,0,0,0
5,486,0,0,0,0,0,0,0,0,0
6,497,0,0,0,0,0,0,0,0,0
7,508,0,0,0,0,0,0,0,0,0
8,520,0,0,0,0,0,0,0,0,0
9,531,0,0,0,0,0,0,0,0,0
10,542,0,0,0,0,0,0,0,0,0
11,553,0,0,0,0,0,0,0,0,0
12,564,0,0,0,0,0,0,0,0,0
13,575,0,0,0,0,0,0,0,0,0
14,587,0,0,0,0,0,0,0,0,0
15,598,0,0,0,0,0,0,0,0,0
16,609,0,0,0,0,0,0,0,0,0
17,620,0,0,0,0,0,0,0,0,0
18,632,0,0,0,0,0,0,0,0,0
19,643,0,0,0,0,0,0,0,0,0
20,654,0,0,0,0,0,0,0,0,0
21,665,0,0,0,0,0,0,0,0,0
22,676,0,0,0,0,0,0,0,0,0
23,687,0,0,0,0,0,0,0,0,0
24,699,0,0,0,0,0,0,0,0,0
25,710,0,0,0,0,0,0,0,0,0
26,721,0,0,0,0,0,0,0,0,0
27,732,0,0,0,0,0,0,0,0,0
28,744,0,0,0,0,0,0,0,0,0
29,755,0,0,0,0,0,0,0,0,0
30,766,0,0,0,0,0,0,0,0,0
31,777,0,0,0,0,0,0,0,0,0
32,788,0,0,0,0,0,0,0,0,0
33,799,0,0,0,0,0,0,0,0,0
34,811,0,0,0,0,0,0,0,0,0
35,822,0,0,0,0,0,0,0,0,0
36,833,0,0,0,0,0,0,0,0,0
37,844,0,0,0,0,0,0,0,0,0
38,856,0,0,0,0,0,0,0,0,0
39,867,0,0,0,0,0,0,0,0,0
40,878,0,0,0,0,0,0,0,0,0
41,889,0,0,0,0,0,0,0,0,0
42,901,0,0,0,0,0,0,0,0,0
43,914,0,0,0,0,0,0,0,0,0
44,926,0,0,0,0,0,0,0,0,0
45,938,0,0,0,0,0,0,0,0,0
46,951,0,0,0,0,0,0,0,0,0
47,963,0,0,0,0,0,0,0,0,0
48,975,0,0,0,0,0,0,0,0,0
49,988,0,0,0,0,0,0,0,0,0
50,1000,0,0,0,0,0,0,0,0,0
