1
LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;829;0;0;0;0;0;0;0;0
2;836;0;0;0;0;0;0;0;0
3;844;0;0;0;0;0;0;0;0
4;851;0;0;0;0;0;0;0;0
5;859;0;0;0;0;0;0;0;0
6;866;0;0;0;0;0;0;0;0
7;874;0;0;0;0;0;0;0;0
8;881;0;0;0;0;0;0;0;0
9;889;0;0;0;0;0;0;0;0
10;896;0;0;0;0;0;0;0;0
11;903;0;0;0;0;0;0;0;0
12;910;0;0;0;0;0;0;0;0
13;918;0;0;0;0;0;0;0;0
14;925;0;0;0;0;0;0;0;0
15;933;0;0;0;0;0;0;0;0
16;940;0;0;0;0;0;0;0;0
17;948;0;0;0;0;0;0;0;0
18;955;0;0;0;0;0;0;0;0
19;963;0;0;0;0;0;0;0;0
20;970;0;0;0;0;0;0;0;0
21;977;0;0;0;0;0;0;0;0
22;984;0;0;0;0;0;0;0;0
23;992;0;0;0;0;0;0;0;0
24;999;0;0;0;0;0;0;0;0
25;1007;0;0;0;0;0;0;0;0
26;1014;0;0;0;0;0;0;0;0
27;1022;0;0;0;0;0;0;0;0
28;1029;0;0;0;0;0;0;0;0
29;1037;0;0;0;0;0;0;0;0
30;1044;0;0;0;0;0;0;0;0
31;1051;0;0;0;0;0;0;0;0
32;1058;0;0;0;0;0;0;0;0
33;1066;0;0;0;0;0;0;0;0
34;1073;0;0;0;0;0;0;0;0
35;1081;0;0;0;0;0;0;0;0
36;1088;0;0;0;0;0;0;0;0
37;1096;0;0;0;0;0;0;0;0
38;1103;0;0;0;0;0;0;0;0
39;1111;0;0;0;0;0;0;0;0
40;1118;0;0;0;0;0;0;0;0
41;1125;0;0;0;0;0;0;0;0
42;1133;0;0;0;0;0;0;0;0
43;1142;0;0;0;0;0;0;0;0
44;1150;0;0;0;0;0;0;0;0
45;1158;0;0;0;0;0;0;0;0
46;1167;0;0;0;0;0;0;0;0
47;1175;0;0;0;0;0;0;0;0
48;1183;0;0;0;0;0;0;0;0
49;1192;0;0;0;0;0;0;0;0
50;1200;0;0;0;0;0;0;0;0
