1
LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;404;0;0;0;0;0;0;0;0
2;412;0;0;0;0;0;0;0;0
3;421;0;0;0;0;0;0;0;0
4;429;0;0;0;0;0;0;0;0
5;437;0;0;0;0;0;0;0;0
6;446;0;0;0;0;0;0;0;0
7;454;0;0;0;0;0;0;0;0
8;462;0;0;0;0;0;0;0;0
9;471;0;0;0;0;0;0;0;0
10;479;0;0;0;0;0;0;0;0
11;487;0;0;0;0;0;0;0;0
12;495;0;0;0;0;0;0;0;0
13;504;0;0;0;0;0;0;0;0
14;512;0;0;0;0;0;0;0;0
15;520;0;0;0;0;0;0;0;0
16;529;0;0;0;0;0;0;0;0
17;537;0;0;0;0;0;0;0;0
18;545;0;0;0;0;0;0;0;0
19;554;0;0;0;0;0;0;0;0
20;562;0;0;0;0;0;0;0;0
21;570;0;0;0;0;0;0;0;0
22;578;0;0;0;0;0;0;0;0
23;587;0;0;0;0;0;0;0;0
24;595;0;0;0;0;0;0;0;0
25;603;0;0;0;0;0;0;0;0
26;612;0;0;0;0;0;0;0;0
27;620;0;0;0;0;0;0;0;0
28;628;0;0;0;0;0;0;0;0
29;637;0;0;0;0;0;0;0;0
30;645;0;0;0;0;0;0;0;0
31;653;0;0;0;0;0;0;0;0
32;661;0;0;0;0;0;0;0;0
33;670;0;0;0;0;0;0;0;0
34;678;0;0;0;0;0;0;0;0
35;686;0;0;0;0;0;0;0;0
36;695;0;0;0;0;0;0;0;0
37;703;0;0;0;0;0;0;0;0
38;711;0;0;0;0;0;0;0;0
39;720;0;0;0;0;0;0;0;0
40;728;0;0;0;0;0;0;0;0
41;736;0;0;0;0;0;0;0;0
42;745;0;0;0;0;0;0;0;0
43;755;0;0;0;0;0;0;0;0
44;764;0;0;0;0;0;0;0;0
45;773;0;0;0;0;0;0;0;0
46;783;0;0;0;0;0;0;0;0
47;792;0;0;0;0;0;0;0;0
48;801;0;0;0;0;0;0;0;0
49;811;0;0;0;0;0;0;0;0
50;820;0;0;0;0;0;0;0;0
