LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;281;6.1;0;4;0;3;0;1;0
2;283;6.1;0;4;0;3;0;1;0
3;285;6.1;0;4;0;3;0;1;0
4;288;6.1;0;4;0;3;0;1;0
5;290;6.1;0;4;0;3;0;1;0
6;292;6.1;0;4;0;3;0;1;0
7;294;6.1;0;4;0;3;0;1;0
8;297;6.1;0;4;0;3;0;1;0
9;299;6.1;0;4;0;3;0;1;0
10;301;6.1;0;4;0;3;0;1;0
11;303;6.1;0;4;0;3;0;1;0
12;305;6.1;0;4;0;3;0;1;0
13;307;6.1;0;4;0;3;0;1;0
14;310;6.1;0;4;0;3;0;1;0
15;312;6.1;0;4;0;3;0;1;0
16;314;6.1;0;4;0;3;0;1;0
17;316;6.1;0;4;0;3;0;1;0
18;319;6.1;0;4;0;3;0;1;0
19;321;6.1;0;4;0;3;0;1;0
20;323;6.1;0;4;0;3;0;1;0
21;325;6.1;0;4;0;3;0;1;0
22;327;6.1;0;4;0;3;0;1;0
23;329;6.1;0;4;0;3;0;1;0
24;332;6.1;0;4;0;3;0;1;0
25;334;6.1;0;4;0;3;0;1;0
26;336;6.1;0;4;0;3;0;1;0
27;338;6.1;0;4;0;3;0;1;0
28;341;6.1;0;4;0;3;0;1;0
29;343;6.1;0;4;0;3;0;1;0
30;345;6.1;0;4;0;3;0;1;0
31;347;6.1;0;4;0;3;0;1;0
32;349;6.1;0;4;0;3;0;1;0
33;351;6.1;0;4;0;3;0;1;0
34;354;6.1;0;4;0;3;0;1;0
35;356;6.1;0;4;0;3;0;1;0
36;358;6.1;0;4;0;3;0;1;0
37;360;6.1;0;4;0;3;0;1;0
38;363;6.1;0;4;0;3;0;1;0
39;365;6.1;0;4;0;3;0;1;0
40;367;6.1;0;4;0;3;0;1;0
41;369;6.1;0;4;0;3;0;1;0
42;372;6.1;0;4;0;3;0;1;0
43;374;6.1;0;4;0;3;0;1;0
44;377;6.1;0;4;0;3;0;1;0
45;380;6.1;0;4;0;3;0;1;0
46;382;6.1;0;4;0;3;0;1;0
47;385;6.1;0;4;0;3;0;1;0
48;388;6.1;0;4;0;3;0;1;0
49;390;6.1;0;4;0;3;0;1;0
50;393;6.1;0;4;0;3;0;1;0
