1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,347,6.1,0,4,0,0,3,0,1,0
2,356,6.1,0,4,0,0,3,0,1,0
3,365,6.1,0,4,0,0,3,0,1,0
4,374,6.1,0,4,0,0,3,0,1,0
5,383,6.1,0,4,0,0,3,0,1,0
6,391,6.1,0,4,0,0,3,0,1,0
7,400,6.1,0,4,0,0,3,0,1,0
8,409,6.1,0,4,0,0,3,0,1,0
9,418,6.1,0,4,0,0,3,0,1,0
10,427,6.1,0,4,0,0,3,0,1,0
11,453,6.1,0,4,0,0,3,0,1,0
12,462,6.1,0,4,0,0,3,0,1,0
13,471,6.1,0,4,0,0,3,0,1,0
14,480,6.1,0,4,0,0,3,0,1,0
15,489,6.1,0,4,0,0,3,0,1,0
16,497,6.1,0,4,0,0,3,0,1,0
17,506,6.1,0,4,0,0,3,0,1,0
18,515,6.1,0,4,0,0,3,0,1,0
19,524,6.1,0,4,0,0,3,0,1,0
20,533,6.1,0,4,0,0,3,0,1,0
21,523,6.1,0,4,0,0,3,0,1,0
22,532,6.1,0,4,0,0,3,0,1,0
23,541,6.1,0,4,0,0,3,0,1,0
24,550,6.1,0,4,0,0,3,0,1,0
25,559,6.1,0,4,0,0,3,0,1,0
26,567,6.1,0,4,0,0,3,0,1,0
27,576,6.1,0,4,0,0,3,0,1,0
28,585,6.1,0,4,0,0,3,0,1,0
29,594,6.1,0,4,0,0,3,0,1,0
30,603,6.1,0,4,0,0,3,0,1,0
31,611,6.1,0,4,0,0,3,0,1,0
32,620,6.1,0,4,0,0,3,0,1,0
33,629,6.1,0,4,0,0,3,0,1,0
34,638,6.1,0,4,0,0,3,0,1,0
35,647,6.1,0,4,0,0,3,0,1,0
36,655,6.1,0,4,0,0,3,0,1,0
37,664,6.1,0,4,0,0,3,0,1,0
38,673,6.1,0,4,0,0,3,0,1,0
39,682,6.1,0,4,0,0,3,0,1,0
40,691,6.1,0,4,0,0,3,0,1,0
41,699,6.1,0,4,0,0,3,0,1,0
42,709,6.1,0,4,0,0,3,0,1,0
43,718,6.1,0,4,0,0,3,0,1,0
44,728,6.1,0,4,0,0,3,0,1,0
45,737,6.1,0,4,0,0,3,0,1,0
46,747,6.1,0,4,0,0,3,0,1,0
47,756,6.1,0,4,0,0,3,0,1,0
48,766,6.1,0,4,0,0,3,0,1,0
49,775,6.1,0,4,0,0,3,0,1,0
50,785,6.1,0,4,0,0,3,0,1,0
