1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,317,6.1,0,4,0,0,3,0,1,0
2,324,6.1,0,4,0,0,3,0,1,0
3,330,6.1,0,4,0,0,3,0,1,0
4,337,6.1,0,4,0,0,3,0,1,0
5,344,6.1,0,4,0,0,3,0,1,0
6,350,6.1,0,4,0,0,3,0,1,0
7,357,6.1,0,4,0,0,3,0,1,0
8,364,6.1,0,4,0,0,3,0,1,0
9,370,6.1,0,4,0,0,3,0,1,0
10,377,6.1,0,4,0,0,3,0,1,0
11,382,6.1,0,4,0,0,3,0,1,0
12,389,6.1,0,4,0,0,3,0,1,0
13,395,6.1,0,4,0,0,3,0,1,0
14,402,6.1,0,4,0,0,3,0,1,0
15,409,6.1,0,4,0,0,3,0,1,0
16,415,6.1,0,4,0,0,3,0,1,0
17,422,6.1,0,4,0,0,3,0,1,0
18,429,6.1,0,4,0,0,3,0,1,0
19,435,6.1,0,4,0,0,3,0,1,0
20,442,6.1,0,4,0,0,3,0,1,0
21,447,6.1,0,4,0,0,3,0,1,0
22,454,6.1,0,4,0,0,3,0,1,0
23,460,6.1,0,4,0,0,3,0,1,0
24,467,6.1,0,4,0,0,3,0,1,0
25,473,6.1,0,4,0,0,3,0,1,0
26,480,6.1,0,4,0,0,3,0,1,0
27,486,6.1,0,4,0,0,3,0,1,0
28,493,6.1,0,4,0,0,3,0,1,0
29,499,6.1,0,4,0,0,3,0,1,0
30,506,6.1,0,4,0,0,3,0,1,0
31,512,6.1,0,4,0,0,3,0,1,0
32,519,6.1,0,4,0,0,3,0,1,0
33,525,6.1,0,4,0,0,3,0,1,0
34,532,6.1,0,4,0,0,3,0,1,0
35,538,6.1,0,4,0,0,3,0,1,0
36,545,6.1,0,4,0,0,3,0,1,0
37,551,6.1,0,4,0,0,3,0,1,0
38,558,6.1,0,4,0,0,3,0,1,0
39,564,6.1,0,4,0,0,3,0,1,0
40,571,6.1,0,4,0,0,3,0,1,0
41,577,6.1,0,4,0,0,3,0,1,0
42,584,6.1,0,4,0,0,3,0,1,0
43,592,6.1,0,4,0,0,3,0,1,0
44,599,6.1,0,4,0,0,3,0,1,0
45,607,6.1,0,4,0,0,3,0,1,0
46,614,6.1,0,4,0,0,3,0,1,0
47,622,6.1,0,4,0,0,3,0,1,0
48,629,6.1,0,4,0,0,3,0,1,0
49,637,6.1,0,4,0,0,3,0,1,0
50,644,6.1,0,4,0,0,3,0,1,0
