1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,300,6.1,0,4,0,0,3,0,1,0
2,305,6.1,0,4,0,0,3,0,1,0
3,309,6.1,0,4,0,0,3,0,1,0
4,314,6.1,0,4,0,0,3,0,1,0
5,318,6.1,0,4,0,0,3,0,1,0
6,323,6.1,0,4,0,0,3,0,1,0
7,327,6.1,0,4,0,0,3,0,1,0
8,332,6.1,0,4,0,0,3,0,1,0
9,336,6.1,0,4,0,0,3,0,1,0
10,341,6.1,0,4,0,0,3,0,1,0
11,346,6.1,0,4,0,0,3,0,1,0
12,351,6.1,0,4,0,0,3,0,1,0
13,355,6.1,0,4,0,0,3,0,1,0
14,360,6.1,0,4,0,0,3,0,1,0
15,365,6.1,0,4,0,0,3,0,1,0
16,369,6.1,0,4,0,0,3,0,1,0
17,374,6.1,0,4,0,0,3,0,1,0
18,379,6.1,0,4,0,0,3,0,1,0
19,383,6.1,0,4,0,0,3,0,1,0
20,388,6.1,0,4,0,0,3,0,1,0
21,392,6.1,0,4,0,0,3,0,1,0
22,397,6.1,0,4,0,0,3,0,1,0
23,401,6.1,0,4,0,0,3,0,1,0
24,406,6.1,0,4,0,0,3,0,1,0
25,411,6.1,0,4,0,0,3,0,1,0
26,415,6.1,0,4,0,0,3,0,1,0
27,420,6.1,0,4,0,0,3,0,1,0
28,425,6.1,0,4,0,0,3,0,1,0
29,429,6.1,0,4,0,0,3,0,1,0
30,434,6.1,0,4,0,0,3,0,1,0
31,438,6.1,0,4,0,0,3,0,1,0
32,443,6.1,0,4,0,0,3,0,1,0
33,447,6.1,0,4,0,0,3,0,1,0
34,452,6.1,0,4,0,0,3,0,1,0
35,457,6.1,0,4,0,0,3,0,1,0
36,461,6.1,0,4,0,0,3,0,1,0
37,466,6.1,0,4,0,0,3,0,1,0
38,471,6.1,0,4,0,0,3,0,1,0
39,475,6.1,0,4,0,0,3,0,1,0
40,480,6.1,0,4,0,0,3,0,1,0
41,484,6.1,0,4,0,0,3,0,1,0
42,489,6.1,0,4,0,0,3,0,1,0
43,494,6.1,0,4,0,0,3,0,1,0
44,499,6.1,0,4,0,0,3,0,1,0
45,504,6.1,0,4,0,0,3,0,1,0
46,508,6.1,0,4,0,0,3,0,1,0
47,513,6.1,0,4,0,0,3,0,1,0
48,518,6.1,0,4,0,0,3,0,1,0
49,523,6.1,0,4,0,0,3,0,1,0
50,528,6.1,0,4,0,0,3,0,1,0
