1
LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;397;10;0;5;0;3;0;1;0
2;407;10;0;5;0;3;0;1;0
3;417;10;0;5;0;3;0;1;0
4;427;10;0;5;0;3;0;1;0
5;437;10;0;5;0;3;0;1;0
6;448;10;0;5;0;3;0;1;0
7;458;10;0;5;0;3;0;1;0
8;468;10;0;5;0;3;0;1;0
9;478;10;0;5;0;3;0;1;0
10;488;10;0;5;0;3;0;1;0
11;497;10;0;5;0;3;0;1;0
12;507;10;0;5;0;3;0;1;0
13;517;10;0;5;0;3;0;1;0
14;528;10;0;5;0;3;0;1;0
15;538;10;0;5;0;3;0;1;0
16;548;10;0;5;0;3;0;1;0
17;558;10;0;5;0;3;0;1;0
18;569;10;0;5;0;3;0;1;0
19;579;10;0;5;0;3;0;1;0
20;589;10;0;5;0;3;0;1;0
21;598;10;0;5;0;3;0;1;0
22;608;10;0;5;0;3;0;1;0
23;618;10;0;5;0;3;0;1;0
24;628;10;0;5;0;3;0;1;0
25;638;10;0;5;0;3;0;1;0
26;649;10;0;5;0;3;0;1;0
27;659;10;0;5;0;3;0;1;0
28;669;10;0;5;0;3;0;1;0
29;679;10;0;5;0;3;0;1;0
30;689;10;0;5;0;3;0;1;0
31;699;10;0;5;0;3;0;1;0
32;709;10;0;5;0;3;0;1;0
33;719;10;0;5;0;3;0;1;0
34;729;10;0;5;0;3;0;1;0
35;739;10;0;5;0;3;0;1;0
36;750;10;0;5;0;3;0;1;0
37;760;10;0;5;0;3;0;1;0
38;770;10;0;5;0;3;0;1;0
39;780;10;0;5;0;3;0;1;0
40;790;10;0;5;0;3;0;1;0
41;799;10;0;5;0;3;0;1;0
42;810;10;0;5;0;3;0;1;0
43;821;10;0;5;0;3;0;1;0
44;832;10;0;5;0;3;0;1;0
45;843;10;0;5;0;3;0;1;0
46;854;10;0;5;0;3;0;1;0
47;865;10;0;5;0;3;0;1;0
48;876;10;0;5;0;3;0;1;0
49;887;10;0;5;0;3;0;1;0
50;898;10;0;5;0;3;0;1;0
