1
LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;744;10;0;5;0;3;0;1;0
2;751;10;0;5;0;3;0;1;0
3;757;10;0;5;0;3;0;1;0
4;764;10;0;5;0;3;0;1;0
5;771;10;0;5;0;3;0;1;0
6;777;10;0;5;0;3;0;1;0
7;784;10;0;5;0;3;0;1;0
8;791;10;0;5;0;3;0;1;0
9;797;10;0;5;0;3;0;1;0
10;804;10;0;5;0;3;0;1;0
11;811;10;0;5;0;3;0;1;0
12;818;10;0;5;0;3;0;1;0
13;824;10;0;5;0;3;0;1;0
14;831;10;0;5;0;3;0;1;0
15;838;10;0;5;0;3;0;1;0
16;844;10;0;5;0;3;0;1;0
17;851;10;0;5;0;3;0;1;0
18;858;10;0;5;0;3;0;1;0
19;864;10;0;5;0;3;0;1;0
20;871;10;0;5;0;3;0;1;0
21;877;10;0;5;0;3;0;1;0
22;884;10;0;5;0;3;0;1;0
23;890;10;0;5;0;3;0;1;0
24;897;10;0;5;0;3;0;1;0
25;904;10;0;5;0;3;0;1;0
26;910;10;0;5;0;3;0;1;0
27;917;10;0;5;0;3;0;1;0
28;924;10;0;5;0;3;0;1;0
29;930;10;0;5;0;3;0;1;0
30;937;10;0;5;0;3;0;1;0
31;944;10;0;5;0;3;0;1;0
32;951;10;0;5;0;3;0;1;0
33;957;10;0;5;0;3;0;1;0
34;964;10;0;5;0;3;0;1;0
35;971;10;0;5;0;3;0;1;0
36;977;10;0;5;0;3;0;1;0
37;984;10;0;5;0;3;0;1;0
38;991;10;0;5;0;3;0;1;0
39;997;10;0;5;0;3;0;1;0
40;1004;10;0;5;0;3;0;1;0
41;1010;10;0;5;0;3;0;1;0
42;1018;10;0;5;0;3;0;1;0
43;1025;10;0;5;0;3;0;1;0
44;1033;10;0;5;0;3;0;1;0
45;1040;10;0;5;0;3;0;1;0
46;1048;10;0;5;0;3;0;1;0
47;1055;10;0;5;0;3;0;1;0
48;1063;10;0;5;0;3;0;1;0
49;1070;10;0;5;0;3;0;1;0
50;1078;10;0;5;0;3;0;1;0
