1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,363,10,0,5,0,0,3,0,1,0
2,371,10,0,5,0,0,3,0,1,0
3,378,10,0,5,0,0,3,0,1,0
4,386,10,0,5,0,0,3,0,1,0
5,394,10,0,5,0,0,3,0,1,0
6,401,10,0,5,0,0,3,0,1,0
7,409,10,0,5,0,0,3,0,1,0
8,417,10,0,5,0,0,3,0,1,0
9,424,10,0,5,0,0,3,0,1,0
10,432,10,0,5,0,0,3,0,1,0
11,438,10,0,5,0,0,3,0,1,0
12,446,10,0,5,0,0,3,0,1,0
13,453,10,0,5,0,0,3,0,1,0
14,461,10,0,5,0,0,3,0,1,0
15,469,10,0,5,0,0,3,0,1,0
16,476,10,0,5,0,0,3,0,1,0
17,484,10,0,5,0,0,3,0,1,0
18,492,10,0,5,0,0,3,0,1,0
19,499,10,0,5,0,0,3,0,1,0
20,507,10,0,5,0,0,3,0,1,0
21,513,10,0,5,0,0,3,0,1,0
22,521,10,0,5,0,0,3,0,1,0
23,528,10,0,5,0,0,3,0,1,0
24,536,10,0,5,0,0,3,0,1,0
25,544,10,0,5,0,0,3,0,1,0
26,551,10,0,5,0,0,3,0,1,0
27,559,10,0,5,0,0,3,0,1,0
28,567,10,0,5,0,0,3,0,1,0
29,574,10,0,5,0,0,3,0,1,0
30,582,10,0,5,0,0,3,0,1,0
31,589,10,0,5,0,0,3,0,1,0
32,597,10,0,5,0,0,3,0,1,0
33,604,10,0,5,0,0,3,0,1,0
34,612,10,0,5,0,0,3,0,1,0
35,619,10,0,5,0,0,3,0,1,0
36,627,10,0,5,0,0,3,0,1,0
37,634,10,0,5,0,0,3,0,1,0
38,642,10,0,5,0,0,3,0,1,0
39,649,10,0,5,0,0,3,0,1,0
40,657,10,0,5,0,0,3,0,1,0
41,664,10,0,5,0,0,3,0,1,0
42,672,10,0,5,0,0,3,0,1,0
43,680,10,0,5,0,0,3,0,1,0
44,688,10,0,5,0,0,3,0,1,0
45,696,10,0,5,0,0,3,0,1,0
46,705,10,0,5,0,0,3,0,1,0
47,713,10,0,5,0,0,3,0,1,0
48,721,10,0,5,0,0,3,0,1,0
49,729,10,0,5,0,0,3,0,1,0
50,737,10,0,5,0,0,3,0,1,0
