1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,342,10,0,5,0,2,3,0,1,0
2,347,10,0,5,0,2,3,0,1,0
3,353,10,0,5,0,2,3,0,1,0
4,358,10,0,5,0,2,3,0,1,0
5,363,10,0,5,0,2,3,0,1,0
6,369,10,0,5,0,2,3,0,1,0
7,374,10,0,5,0,2,3,0,1,0
8,379,10,0,5,0,2,3,0,1,0
9,385,10,0,5,0,2,3,0,1,0
10,390,10,0,5,0,2,3,0,1,0
11,395,10,0,5,0,2,3,0,1,0
12,400,10,0,5,0,2,3,0,1,0
13,405,10,0,5,0,2,3,0,1,0
14,411,10,0,5,0,2,3,0,1,0
15,416,10,0,5,0,2,3,0,1,0
16,421,10,0,5,0,2,3,0,1,0
17,426,10,0,5,0,2,3,0,1,0
18,432,10,0,5,0,2,3,0,1,0
19,437,10,0,5,0,2,3,0,1,0
20,442,10,0,5,0,2,3,0,1,0
21,447,10,0,5,0,2,3,0,1,0
22,452,10,0,5,0,2,3,0,1,0
23,457,10,0,5,0,2,3,0,1,0
24,463,10,0,5,0,2,3,0,1,0
25,468,10,0,5,0,2,3,0,1,0
26,473,10,0,5,0,2,3,0,1,0
27,478,10,0,5,0,2,3,0,1,0
28,484,10,0,5,0,2,3,0,1,0
29,489,10,0,5,0,2,3,0,1,0
30,494,10,0,5,0,2,3,0,1,0
31,499,10,0,5,0,2,3,0,1,0
32,504,10,0,5,0,2,3,0,1,0
33,510,10,0,5,0,2,3,0,1,0
34,515,10,0,5,0,2,3,0,1,0
35,520,10,0,5,0,2,3,0,1,0
36,526,10,0,5,0,2,3,0,1,0
37,531,10,0,5,0,2,3,0,1,0
38,536,10,0,5,0,2,3,0,1,0
39,542,10,0,5,0,2,3,0,1,0
40,547,10,0,5,0,2,3,0,1,0
41,551,10,0,5,0,2,3,0,1,0
42,557,10,0,5,0,2,3,0,1,0
43,563,10,0,5,0,2,3,0,1,0
44,569,10,0,5,0,2,3,0,1,0
45,575,10,0,5,0,2,3,0,1,0
46,581,10,0,5,0,2,3,0,1,0
47,587,10,0,5,0,2,3,0,1,0
48,593,10,0,5,0,2,3,0,1,0
49,599,10,0,5,0,2,3,0,1,0
50,605,10,0,5,0,2,3,0,1,0
