LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;2;20;0;14.9;0;0.3;0;1;0
2;3;20;0;14.9;0;0.3;0;1;0
3;3;20;0;14.9;0;0.3;0;1;0
4;3;20;0;14.9;0;0.3;0;1;0
5;3;20;0;14.9;0;0.3;0;1;0
6;3;20;0;14.9;0;0.3;0;1;0
7;3;20;0;14.9;0;0.3;0;1;0
8;3;20;0;14.9;0;0.3;0;1;0
9;3;20;0;14.9;0;0.3;0;1;0
10;3;20;0;14.9;0;0.3;0;1;0
11;3;20;0;14.9;0;0.3;0;1;0
12;3;20;0;14.9;0;0.3;0;1;0
13;3;20;0;14.9;0;0.3;0;1;0
14;3;20;0;14.9;0;0.3;0;1;0
15;3;20;0;14.9;0;0.3;0;1;0
16;3;20;0;14.9;0;0.3;0;1;0
17;3;20;0;14.9;0;0.3;0;1;0
18;3;20;0;14.9;0;0.3;0;1;0
19;3;20;0;14.9;0;0.3;0;1;0
20;3;20;0;14.9;0;0.3;0;1;0
21;3;20;0;14.9;0;0.3;0;1;0
22;4;20;0;14.9;0;0.3;0;1;0
23;4;20;0;14.9;0;0.3;0;1;0
24;4;20;0;14.9;0;0.3;0;1;0
25;4;20;0;14.9;0;0.3;0;1;0
26;4;20;0;14.9;0;0.3;0;1;0
27;4;20;0;14.9;0;0.3;0;1;0
28;4;20;0;14.9;0;0.3;0;1;0
29;4;20;0;14.9;0;0.3;0;1;0
30;4;20;0;14.9;0;0.3;0;1;0
31;4;20;0;14.9;0;0.3;0;1;0
32;4;20;0;14.9;0;0.3;0;1;0
33;4;20;0;14.9;0;0.3;0;1;0
34;4;20;0;14.9;0;0.3;0;1;0
35;4;20;0;14.9;0;0.3;0;1;0
36;4;20;0;14.9;0;0.3;0;1;0
37;4;20;0;14.9;0;0.3;0;1;0
38;4;20;0;14.9;0;0.3;0;1;0
39;4;20;0;14.9;0;0.3;0;1;0
40;4;20;0;14.9;0;0.3;0;1;0
41;4;20;0;14.9;0;0.3;0;1;0
42;5;20;0;14.9;0;0.3;0;1;0
43;5;20;0;14.9;0;0.3;0;1;0
44;5;20;0;14.9;0;0.3;0;1;0
45;5;20;0;14.9;0;0.3;0;1;0
46;5;20;0;14.9;0;0.3;0;1;0
47;5;20;0;14.9;0;0.3;0;1;0
48;5;20;0;14.9;0;0.3;0;1;0
49;5;20;0;14.9;0;0.3;0;1;0
50;5;20;0;14.9;0;0.3;0;1;0
