LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;7;20;0;14.9;0;0.3;0;1;0
2;7;20;0;14.9;0;0.3;0;1;0
3;7;20;0;14.9;0;0.3;0;1;0
4;7;20;0;14.9;0;0.3;0;1;0
5;7;20;0;14.9;0;0.3;0;1;0
6;7;20;0;14.9;0;0.3;0;1;0
7;7;20;0;14.9;0;0.3;0;1;0
8;7;20;0;14.9;0;0.3;0;1;0
9;7;20;0;14.9;0;0.3;0;1;0
10;7;20;0;14.9;0;0.3;0;1;0
11;7;20;0;14.9;0;0.3;0;1;0
12;7;20;0;14.9;0;0.3;0;1;0
13;7;20;0;14.9;0;0.3;0;1;0
14;7;20;0;14.9;0;0.3;0;1;0
15;7;20;0;14.9;0;0.3;0;1;0
16;7;20;0;14.9;0;0.3;0;1;0
17;7;20;0;14.9;0;0.3;0;1;0
18;7;20;0;14.9;0;0.3;0;1;0
19;7;20;0;14.9;0;0.3;0;1;0
20;7;20;0;14.9;0;0.3;0;1;0
21;7;20;0;14.9;0;0.3;0;1;0
22;7;20;0;14.9;0;0.3;0;1;0
23;7;20;0;14.9;0;0.3;0;1;0
24;7;20;0;14.9;0;0.3;0;1;0
25;8;20;0;14.9;0;0.3;0;1;0
26;8;20;0;14.9;0;0.3;0;1;0
27;8;20;0;14.9;0;0.3;0;1;0
28;8;20;0;14.9;0;0.3;0;1;0
29;8;20;0;14.9;0;0.3;0;1;0
30;8;20;0;14.9;0;0.3;0;1;0
31;8;20;0;14.9;0;0.3;0;1;0
32;8;20;0;14.9;0;0.3;0;1;0
33;8;20;0;14.9;0;0.3;0;1;0
34;8;20;0;14.9;0;0.3;0;1;0
35;8;20;0;14.9;0;0.3;0;1;0
36;8;20;0;14.9;0;0.3;0;1;0
37;8;20;0;14.9;0;0.3;0;1;0
38;8;20;0;14.9;0;0.3;0;1;0
39;8;20;0;14.9;0;0.3;0;1;0
40;8;20;0;14.9;0;0.3;0;1;0
41;8;20;0;14.9;0;0.3;0;1;0
42;8;20;0;14.9;0;0.3;0;1;0
43;8;20;0;14.9;0;0.3;0;1;0
44;8;20;0;14.9;0;0.3;0;1;0
45;8;20;0;14.9;0;0.3;0;1;0
46;8;20;0;14.9;0;0.3;0;1;0
47;8;20;0;14.9;0;0.3;0;1;0
48;8;20;0;14.9;0;0.3;0;1;0
49;8;20;0;14.9;0;0.3;0;1;0
50;8;20;0;14.9;0;0.3;0;1;0
