1
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,3,20,0,14.9,0,0,0.3,0,1,0
2,3,20,0,14.9,0,0,0.3,0,1,0
3,3,20,0,14.9,0,0,0.3,0,1,0
4,3,20,0,14.9,0,0,0.3,0,1,0
5,3,20,0,14.9,0,0,0.3,0,1,0
6,3,20,0,14.9,0,0,0.3,0,1,0
7,3,20,0,14.9,0,0,0.3,0,1,0
8,3,20,0,14.9,0,0,0.3,0,1,0
9,3,20,0,14.9,0,0,0.3,0,1,0
10,4,20,0,14.9,0,0,0.3,0,1,0
11,4,20,0,14.9,0,0,0.3,0,1,0
12,4,20,0,14.9,0,0,0.3,0,1,0
13,4,20,0,14.9,0,0,0.3,0,1,0
14,4,20,0,14.9,0,0,0.3,0,1,0
15,4,20,0,14.9,0,0,0.3,0,1,0
16,4,20,0,14.9,0,0,0.3,0,1,0
17,4,20,0,14.9,0,0,0.3,0,1,0
18,4,20,0,14.9,0,0,0.3,0,1,0
19,4,20,0,14.9,0,0,0.3,0,1,0
20,4,20,0,14.9,0,0,0.3,0,1,0
21,4,20,0,14.9,0,0,0.3,0,1,0
22,4,20,0,14.9,0,0,0.3,0,1,0
23,4,20,0,14.9,0,0,0.3,0,1,0
24,4,20,0,14.9,0,0,0.3,0,1,0
25,4,20,0,14.9,0,0,0.3,0,1,0
26,4,20,0,14.9,0,0,0.3,0,1,0
27,4,20,0,14.9,0,0,0.3,0,1,0
28,5,20,0,14.9,0,0,0.3,0,1,0
29,5,20,0,14.9,0,0,0.3,0,1,0
30,5,20,0,14.9,0,0,0.3,0,1,0
31,5,20,0,14.9,0,0,0.3,0,1,0
32,5,20,0,14.9,0,0,0.3,0,1,0
33,5,20,0,14.9,0,0,0.3,0,1,0
34,5,20,0,14.9,0,0,0.3,0,1,0
35,5,20,0,14.9,0,0,0.3,0,1,0
36,5,20,0,14.9,0,0,0.3,0,1,0
37,5,20,0,14.9,0,0,0.3,0,1,0
38,5,20,0,14.9,0,0,0.3,0,1,0
39,5,20,0,14.9,0,0,0.3,0,1,0
40,5,20,0,14.9,0,0,0.3,0,1,0
41,5,20,0,14.9,0,0,0.3,0,1,0
42,5,20,0,14.9,0,0,0.3,0,1,0
43,5,20,0,14.9,0,0,0.3,0,1,0
44,5,20,0,14.9,0,0,0.3,0,1,0
45,5,20,0,14.9,0,0,0.3,0,1,0
46,6,20,0,14.9,0,0,0.3,0,1,0
47,6,20,0,14.9,0,0,0.3,0,1,0
48,6,20,0,14.9,0,0,0.3,0,1,0
49,6,20,0,14.9,0,0,0.3,0,1,0
50,6,20,0,14.9,0,0,0.3,0,1,0
