2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,203,20,0,0,0,0,1,0,1,5
2,206,20,0,0,0,0,1,0,1,5
3,209,20,0,0,0,0,1,0,1,5
4,213,20,0,0,0,0,1,0,1,5
5,216,20,0,0,0,0,1,0,1,5
6,219,20,0,0,0,0,1,0,1,5
7,222,20,0,0,0,0,1,0,1,5
8,226,20,0,0,0,0,1,0,1,5
9,229,20,0,0,0,0,1,0,1,5
10,232,20,0,0,0,0,1,0,1,5
11,235,20,0,0,0,0,1,0,1,5
12,238,20,0,0,0,0,1,0,1,5
13,241,20,0,0,0,0,1,0,1,5
14,245,20,0,0,0,0,1,0,1,5
15,248,20,0,0,0,0,1,0,1,5
16,251,20,0,0,0,0,1,0,1,5
17,254,20,0,0,0,0,1,0,1,5
18,258,20,0,0,0,0,1,0,1,5
19,261,20,0,0,0,0,1,0,1,5
20,264,20,0,0,0,0,1,0,1,5
21,267,20,0,0,0,0,1,0,1,5
22,270,20,0,0,0,0,1,0,1,5
23,273,20,0,0,0,0,1,0,1,5
24,277,20,0,0,0,0,1,0,1,5
25,280,20,0,0,0,0,1,0,1,5
26,283,20,0,0,0,0,1,0,1,5
27,286,20,0,0,0,0,1,0,1,5
28,290,20,0,0,0,0,1,0,1,5
29,293,20,0,0,0,0,1,0,1,5
30,296,20,0,0,0,0,1,0,1,5
31,299,20,0,0,0,0,1,0,1,5
32,302,20,0,0,0,0,1,0,1,5
33,305,20,0,0,0,0,1,0,1,5
34,309,20,0,0,0,0,1,0,1,5
35,312,20,0,0,0,0,1,0,1,5
36,315,20,0,0,0,0,1,0,1,5
37,318,20,0,0,0,0,1,0,1,5
38,322,20,0,0,0,0,1,0,1,5
39,325,20,0,0,0,0,1,0,1,5
40,328,20,0,0,0,0,1,0,1,5
41,331,20,0,0,0,0,1,0,1,5
42,334,20,0,0,0,0,1,0,1,5
43,337,20,0,0,0,0,1,0,1,5
44,341,20,0,0,0,0,1,0,1,5
45,344,20,0,0,0,0,1,0,1,5
46,347,20,0,0,0,0,1,0,1,5
47,350,20,0,0,0,0,1,0,1,5
48,354,20,0,0,0,0,1,0,1,5
49,357,20,0,0,0,0,1,0,1,5
50,360,20,0,0,0,0,1,0,1,5
