2
LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;225;20;0;0;0;1;0;1;5
2;230;20;0;0;0;1;0;1;5
3;236;20;0;0;0;1;0;1;5
4;241;20;0;0;0;1;0;1;5
5;247;20;0;0;0;1;0;1;5
6;252;20;0;0;0;1;0;1;5
7;258;20;0;0;0;1;0;1;5
8;263;20;0;0;0;1;0;1;5
9;269;20;0;0;0;1;0;1;5
10;274;20;0;0;0;1;0;1;5
11;279;20;0;0;0;1;0;1;5
12;284;20;0;0;0;1;0;1;5
13;290;20;0;0;0;1;0;1;5
14;295;20;0;0;0;1;0;1;5
15;301;20;0;0;0;1;0;1;5
16;306;20;0;0;0;1;0;1;5
17;312;20;0;0;0;1;0;1;5
18;317;20;0;0;0;1;0;1;5
19;323;20;0;0;0;1;0;1;5
20;328;20;0;0;0;1;0;1;5
21;333;20;0;0;0;1;0;1;5
22;338;20;0;0;0;1;0;1;5
23;344;20;0;0;0;1;0;1;5
24;349;20;0;0;0;1;0;1;5
25;355;20;0;0;0;1;0;1;5
26;360;20;0;0;0;1;0;1;5
27;366;20;0;0;0;1;0;1;5
28;371;20;0;0;0;1;0;1;5
29;377;20;0;0;0;1;0;1;5
30;382;20;0;0;0;1;0;1;5
31;387;20;0;0;0;1;0;1;5
32;392;20;0;0;0;1;0;1;5
33;398;20;0;0;0;1;0;1;5
34;403;20;0;0;0;1;0;1;5
35;409;20;0;0;0;1;0;1;5
36;414;20;0;0;0;1;0;1;5
37;420;20;0;0;0;1;0;1;5
38;425;20;0;0;0;1;0;1;5
39;431;20;0;0;0;1;0;1;5
40;436;20;0;0;0;1;0;1;5
41;441;20;0;0;0;1;0;1;5
42;447;20;0;0;0;1;0;1;5
43;453;20;0;0;0;1;0;1;5
44;459;20;0;0;0;1;0;1;5
45;465;20;0;0;0;1;0;1;5
46;471;20;0;0;0;1;0;1;5
47;477;20;0;0;0;1;0;1;5
48;483;20;0;0;0;1;0;1;5
49;489;20;0;0;0;1;0;1;5
50;495;20;0;0;0;1;0;1;5
