2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,314,15,0,3.7,0,0,2,15,3,0
2,317,15,0,3.7,0,0,2,15,3,0
3,319,15,0,3.7,0,0,2,15,3,0
4,322,15,0,3.7,0,0,2,15,3,0
5,324,15,0,3.7,0,0,2,15,3,0
6,327,15,0,3.7,0,0,2,15,3,0
7,329,15,0,3.7,0,0,2,15,3,0
8,332,15,0,3.7,0,0,2,15,3,0
9,334,15,0,3.7,0,0,2,15,3,0
10,337,15,0,3.7,0,0,2,15,3,0
11,339,15,0,3.7,0,0,2,15,3,0
12,341,15,0,3.7,0,0,2,15,3,0
13,344,15,0,3.7,0,0,2,15,3,0
14,346,15,0,3.7,0,0,2,15,3,0
15,349,15,0,3.7,0,0,2,15,3,0
16,351,15,0,3.7,0,0,2,15,3,0
17,354,15,0,3.7,0,0,2,15,3,0
18,356,15,0,3.7,0,0,2,15,3,0
19,359,15,0,3.7,0,0,2,15,3,0
20,361,15,0,3.7,0,0,2,15,3,0
21,363,15,0,3.7,0,0,2,15,3,0
22,366,15,0,3.7,0,0,2,15,3,0
23,368,15,0,3.7,0,0,2,15,3,0
24,371,15,0,3.7,0,0,2,15,3,0
25,373,15,0,3.7,0,0,2,15,3,0
26,376,15,0,3.7,0,0,2,15,3,0
27,378,15,0,3.7,0,0,2,15,3,0
28,381,15,0,3.7,0,0,2,15,3,0
29,383,15,0,3.7,0,0,2,15,3,0
30,386,15,0,3.7,0,0,2,15,3,0
31,388,15,0,3.7,0,0,2,15,3,0
32,391,15,0,3.7,0,0,2,15,3,0
33,393,15,0,3.7,0,0,2,15,3,0
34,396,15,0,3.7,0,0,2,15,3,0
35,398,15,0,3.7,0,0,2,15,3,0
36,401,15,0,3.7,0,0,2,15,3,0
37,403,15,0,3.7,0,0,2,15,3,0
38,406,15,0,3.7,0,0,2,15,3,0
39,408,15,0,3.7,0,0,2,15,3,0
40,411,15,0,3.7,0,0,2,15,3,0
41,413,15,0,3.7,0,0,2,15,3,0
42,416,15,0,3.7,0,0,2,15,3,0
43,419,15,0,3.7,0,0,2,15,3,0
44,422,15,0,3.7,0,0,2,15,3,0
45,425,15,0,3.7,0,0,2,15,3,0
46,427,15,0,3.7,0,0,2,15,3,0
47,430,15,0,3.7,0,0,2,15,3,0
48,433,15,0,3.7,0,0,2,15,3,0
49,436,15,0,3.7,0,0,2,15,3,0
50,439,15,0,3.7,0,0,2,15,3,0
