2
LEVEL,BASE_STAT,COOL_DOWN,RANGE,PROJECTILE_SPEED,CRITICAL_HIT_CHANCE,CRITICAL_HIT_MULTIPLIER,RADIUS,SPREAD,AMOUNT_OF_PROJECTILES,DURATION
1,355,15,0,3.7,0,2,2,15,3,0
2,362,15,0,3.7,0,2,2,15,3,0
3,370,15,0,3.7,0,2,2,15,3,0
4,377,15,0,3.7,0,2,2,15,3,0
5,384,15,0,3.7,0,2,2,15,3,0
6,392,15,0,3.7,0,2,2,15,3,0
7,399,15,0,3.7,0,2,2,15,3,0
8,406,15,0,3.7,0,2,2,15,3,0
9,414,15,0,3.7,0,2,2,15,3,0
10,421,15,0,3.7,0,2,2,15,3,0
11,428,15,0,3.7,0,2,2,15,3,0
12,435,15,0,3.7,0,2,2,15,3,0
13,443,15,0,3.7,0,2,2,15,3,0
14,450,15,0,3.7,0,2,2,15,3,0
15,457,15,0,3.7,0,2,2,15,3,0
16,465,15,0,3.7,0,2,2,15,3,0
17,472,15,0,3.7,0,2,2,15,3,0
18,479,15,0,3.7,0,2,2,15,3,0
19,487,15,0,3.7,0,2,2,15,3,0
20,494,15,0,3.7,0,2,2,15,3,0
21,501,15,0,3.7,0,2,2,15,3,0
22,508,15,0,3.7,0,2,2,15,3,0
23,516,15,0,3.7,0,2,2,15,3,0
24,523,15,0,3.7,0,2,2,15,3,0
25,531,15,0,3.7,0,2,2,15,3,0
26,538,15,0,3.7,0,2,2,15,3,0
27,546,15,0,3.7,0,2,2,15,3,0
28,553,15,0,3.7,0,2,2,15,3,0
29,561,15,0,3.7,0,2,2,15,3,0
30,568,15,0,3.7,0,2,2,15,3,0
31,574,15,0,3.7,0,2,2,15,3,0
32,581,15,0,3.7,0,2,2,15,3,0
33,589,15,0,3.7,0,2,2,15,3,0
34,596,15,0,3.7,0,2,2,15,3,0
35,604,15,0,3.7,0,2,2,15,3,0
36,611,15,0,3.7,0,2,2,15,3,0
37,619,15,0,3.7,0,2,2,15,3,0
38,626,15,0,3.7,0,2,2,15,3,0
39,634,15,0,3.7,0,2,2,15,3,0
40,641,15,0,3.7,0,2,2,15,3,0
41,647,15,0,3.7,0,2,2,15,3,0
42,655,15,0,3.7,0,2,2,15,3,0
43,663,15,0,3.7,0,2,2,15,3,0
44,671,15,0,3.7,0,2,2,15,3,0
45,679,15,0,3.7,0,2,2,15,3,0
46,688,15,0,3.7,0,2,2,15,3,0
47,696,15,0,3.7,0,2,2,15,3,0
48,704,15,0,3.7,0,2,2,15,3,0
49,712,15,0,3.7,0,2,2,15,3,0
50,720,15,0,3.7,0,2,2,15,3,0
