ID,BundleID,Items,Resource1,Amount1,Resource2,Amount2,Resource3,Amount3,InventorySlots,ResourceDistribution,DistributionRange,TalentBonuses,CaptainLevelMultiplier,SubscriptionDays,PremiumDays,FreePremiumDays,XPBonusHours,HC,SC_ITEM,SC_CREW,VICTORY_TOKEN,SEASON_POINT,SC_GUILD,SC_UPGRADE_R1,SC_UPGRADE_R2,SC_UPGRADE_R3,SC_UPGRADE_R4,SC_UPGRADE_R5,SC_EVOLVE_R1,SC_EVOLVE_R2,SC_EVOLVE_R3,SC_EVOLVE_R4,SC_EVOLVE_R5,SC_EVENT_TICKET,SC_BATTLE_COIN
1,TUTORIAL_BUNDLE,,HC,100,SC_ITEM,2500,SC_CREW,2000,,NONE,,0,0,,,,,100,2500,2000,,,,,,,,,,,,,,,
2,CAPTAIN_LEVEL_2,,SC_ITEM,5000,SC_CREW,3000,,,,NONE,,0,0,,,,,,5000,3000,,,,,,,,,,,,,,,
3,CAPTAIN_LEVEL_3,,SC_ITEM,5000,SC_CREW,4000,,,,NONE,,0,0,,,,,,5000,4000,,,,,,,,,,,,,,,
4,CAPTAIN_LEVEL_4,,SC_ITEM,5000,SC_CREW,5000,,,,NONE,,0,0,,,,,,5000,5000,,,,,,,,,,,,,,,
5,CAPTAIN_LEVEL_5,,HC,10,SC_ITEM,7500,SC_CREW,7500,,NONE,,0,0,,,,,10,7500,7500,,,,,,,,,,,,,,,
6,CAPTAIN_LEVEL_6,,SC_ITEM,10000,SC_CREW,10000,,,,NONE,,0,0,,,,,,10000,10000,,,,,,,,,,,,,,,
7,CAPTAIN_LEVEL_7,PREMIUM_PEARL_BOX_NO_SHOP,SC_ITEM,20000,SC_CREW,12500,,,,NONE,,0,0,,,,,,20000,12500,,,,,,,,,,,,,,,
8,CAPTAIN_LEVEL_8,,SC_ITEM,30000,SC_CREW,15000,,,,NONE,,0,0,,,,,,30000,15000,,,,,,,,,,,,,,,
9,CAPTAIN_LEVEL_9,,SC_ITEM,40000,SC_CREW,17500,,,,NONE,,0,0,,,,,,40000,17500,,,,,,,,,,,,,,,
10,CAPTAIN_LEVEL_10,,HC,10,SC_ITEM,50000,SC_CREW,50000,,NONE,,0,0,,,,,10,50000,50000,,,,,,,,,,,,,,,
11,CAPTAIN_LEVEL_11,,SC_ITEM,60000,SC_CREW,32500,,,,NONE,,0,0,,,,,,60000,32500,,,,,,,,,,,,,,,
