ID,TextID,Description,Count,Trigger,Condition,ConditionValue,ConditionName,BonusCondition,BonusConditionValue,BonusMultiplier,Reward,RequiresWin,RequiresGuildFleet,GuildFleetBonus
1,OBJECTIVE_CANNONSHIP_VICTORY,QUEST_OBJECTIVE_SHIP_WIN,3,WIN,SHIP_GROUP,SHOOTER_QUESTS,SHIP_NAME_CANNON_1,,,,,,,
2,OBJECTIVE_COMPLETE_DAILIES_15,QUEST_OBJECTIVE_COMPLETE_DAILIES,12,CLAIM_QUEST_REWARD,QUEST_CATEGORY,DAILY_QUEST,,,,,,,,
3,OBJECTIVE_COMPLETE_DAILIES_20,QUEST_OBJECTIVE_COMPLETE_DAILIES,18,CLAIM_QUEST_REWARD,QUEST_CATEGORY,DAILY_QUEST,,,,,,,,
4,OBJECTIVE_COMPLETE_DAILIES_5,QUEST_OBJECTIVE_COMPLETE_DAILIES,5,CLAIM_QUEST_REWARD,QUEST_CATEGORY,DAILY_QUEST,,,,,,,,
5,OBJECTIVE_DEAL_1000_DAMAGE,QUEST_OBJECTIVE_DEAL_DAMAGE,1000,DAMAGE,,,,,,,,,,
6,OBJECTIVE_DEAL_10000_DAMAGE,QUEST_OBJECTIVE_DEAL_DAMAGE,10000,DAMAGE,,,,,,,,,,
7,OBJECTIVE_DEAL_13000_DAMAGE,QUEST_OBJECTIVE_DEAL_DAMAGE,13000,DAMAGE,,,,,,,,,,
8,OBJECTIVE_DEAL_18000_DAMAGE,QUEST_OBJECTIVE_DEAL_DAMAGE,18000,DAMAGE,,,,,,,,,,
9,OBJECTIVE_DEAL_22000_DAMAGE,QUEST_OBJECTIVE_DEAL_DAMAGE,22000,DAMAGE,,,,,,,,,,
10,OBJECTIVE_DEAL_5000_DAMAGE,QUEST_OBJECTIVE_DEAL_DAMAGE,5000,DAMAGE,,,,,,,,,,
11,OBJECTIVE_DEAL_7000_DAMAGE,QUEST_OBJECTIVE_DEAL_DAMAGE,7000,DAMAGE,,,,,,,,,,
12,OBJECTIVE_DESTROY_1_CANNON_SHIP,QUEST_OBJECTIVE_DESTROY_1_SPECIFIC_SHIP,1,DESTROY_SHIP,SHIP_GROUP,CANNON_SHIP,SHIP_NAME_CANNON_1,,,,,,,
13,OBJECTIVE_DESTROY_1_CONTROL_SHIP,QUEST_OBJECTIVE_DESTROY_1_SPECIFIC_SHIP,1,DESTROY_SHIP,SHIP_GROUP,CONTROL_SHIP,SHIP_NAME_FISHY_1,,,,,,,
14,OBJECTIVE_DESTROY_1_HEALING_SHIP,QUEST_OBJECTIVE_DESTROY_1_SPECIFIC_SHIP,1,DESTROY_SHIP,SHIP_GROUP,HEALING_SHIP,SHIP_NAME_REPAIR_1,,,,,,,
15,OBJECTIVE_DESTROY_1_SPEED_SHIP,QUEST_OBJECTIVE_DESTROY_1_SPECIFIC_SHIP,1,DESTROY_SHIP,SHIP_GROUP,SPEED_SHIP,SHIP_NAME_SPEED_1,,,,,,,
16,OBJECTIVE_DESTROY_1_TANK_SHIP,QUEST_OBJECTIVE_DESTROY_1_SPECIFIC_SHIP,1,DESTROY_SHIP,SHIP_GROUP,TANK_SHIP,SHIP_NAME_TANK_A_1,,,,,,,
17,OBJECTIVE_DESTROY_5_SHIPS,QUEST_OBJECTIVE_DESTROY_SHIPS,5,DESTROY_SHIP,,,,,,,,,,
18,OBJECTIVE_DROP_100_MINES,QUEST_OBJECTIVE_DROP_MINES,100,SKILL_ACTIVATE,GROUP,MINE,ITEM_MINE,,,,,,,
19,OBJECTIVE_EARN_10_BATTLESTARS,QUEST_OBJECTIVE_EARN_BATTLESTARS,10,EARN_BATTLE_REWARD,RESOURCE,VICTORY_TOKEN,RESOURCE_VICTORY_TOKEN,,,,,,,
20,OBJECTIVE_FIGHT_5_BATTLES,QUEST_OBJECTIVE_FIGHT_BATTLES,5,BATTLE,,,,,,,,,,
21,OBJECTIVE_FIRE_100_SHOTS,QUEST_OBJECTIVE_FIRE_SHOTS,100,SKILL_ACTIVATE,GROUP,WEAPON,,,,,,,,
22,OBJECTIVE_HEALER_VICTORY,QUEST_OBJECTIVE_SHIP_WIN,3,WIN,SHIP_GROUP,FIXER_QUESTS,SHIP_NAME_REPAIR_1,,,,,,,
23,OBJECTIVE_SPEEDBOAT_VICTORY,QUEST_OBJECTIVE_SHIP_WIN,3,WIN,SHIP_GROUP,SPEED_SHIP,SHIP_NAME_SPEED_1,,,,,,,
24,OBJECTIVE_STINKY_VICTORY,QUEST_OBJECTIVE_SHIP_WIN,3,WIN,SHIP_GROUP,CONTROL_SHIP,SHIP_NAME_FISHY_1,,,,,,,
25,OBJECTIVE_TANK_VICTORY,QUEST_OBJECTIVE_SHIP_WIN,3,WIN,SHIP_GROUP,DEFENDER_QUESTS,SHIP_NAME_TANK_A_1,,,,,,,
26,OBJECTIVE_WIN_10_BATTLES,QUEST_OBJECTIVE_WIN_BATTLES,10,WIN,,,,,,,,,,
27,OBJECTIVE_WIN_3_BATTLES,QUEST_OBJECTIVE_WIN_BATTLES,3,WIN,,,,,,,,,,
28,OBJECTIVE_KILL_10_WITH_BLAST_CANNON,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,8,DESTROY_SHIP,GROUP,BLAST_CANNON,ITEM_CANNON_BLAST,,,,,,,
29,OBJECTIVE_KILL_10_WITH_STANDARD_CANNON,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,6,DESTROY_SHIP,GROUP,STANDARD_CANNON,ITEM_CANNON,,,,,,,
30,OBJECTIVE_KILL_10_WITH_SNIPER_CANNON,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,8,DESTROY_SHIP,GROUP,SNIPER_CANNON,ITEM_CANNON_SNIPER,,,,,,,
31,OBJECTIVE_KILL_10_WITH_STANDARD_CARRONADE,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,8,DESTROY_SHIP,GROUP,STANDARD_CARRONADE,ITEM_CARRONADE,,,,,,,
32,OBJECTIVE_KILL_10_WITH_FIRE_BOMB,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,8,DESTROY_SHIP,GROUP,FIRE_BOMB,ITEM_FIRE_BOMB,,,,,,,
33,OBJECTIVE_KILL_10_WITH_FLARE_GUN,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,8,DESTROY_SHIP,GROUP,FLARE_GUN,ITEM_FLARE_GUN,,,,,,,
34,OBJECTIVE_KILL_10_WITH_GRENADE,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,8,DESTROY_SHIP,GROUP,GRENADE,ITEM_GRENADE,,,,,,,
35,OBJECTIVE_KILL_10_WITH_MINE,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,6,DESTROY_SHIP,GROUP,MINE,ITEM_MINE,,,,,,,
36,OBJECTIVE_KILL_10_WITH_MISSILE,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,6,DESTROY_SHIP,GROUP,MISSILE,ITEM_MISSILE,,,,,,,
37,OBJECTIVE_KILL_10_WITH_BIG_MORTAR,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,8,DESTROY_SHIP,GROUP,BIG_MORTAR,ITEM_MORTAR_BIG,,,,,,,
38,OBJECTIVE_KILL_10_WITH_LARGE_AREA_MORTAR,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,6,DESTROY_SHIP,GROUP,LARGE_AREA_MORTAR,ITEM_MORTAR_LARGE_AREA,,,,,,,
39,OBJECTIVE_KILL_10_WITH_LONG_RANGE_MORTAR,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,6,DESTROY_SHIP,GROUP,LONG_RANGE_MORTAR,ITEM_MORTAR_LONG_RANGE,,,,,,,
40,OBJECTIVE_KILL_10_WITH_STANDARD_MORTAR,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,6,DESTROY_SHIP,GROUP,STANDARD_MORTAR,ITEM_MORTAR,,,,,,,
41,OBJECTIVE_KILL_10_WITH_NAPALM,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,8,DESTROY_SHIP,GROUP,NAPALM,ITEM_NAPALM,,,,,,,
42,OBJECTIVE_KILL_10_WITH_RAILGUN,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,10,DESTROY_SHIP,GROUP,RAILGUN,ITEM_RAILGUN,,,,,,,
43,OBJECTIVE_KILL_10_WITH_FAST_TORPEDO,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,6,DESTROY_SHIP,GROUP,FAST_TORPEDO,ITEM_TORPEDO_FAST,,,,,,,
44,OBJECTIVE_KILL_10_WITH_BIG_TORPEDO,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,8,DESTROY_SHIP,GROUP,BIG_TORPEDO,ITEM_TORPEDO,,,,,,,
