ID,TextID,Name,Icon,Rarity,Steps,RewardBundle,RewardCatalog,RewardItem,RewardUnlock,Group,TrophyMultiplier,,,,,,,,,,,,,,,
1,DAILY_DEAL_1000_DAMAGE,QUEST_NAME_DEAL_DAMAGE,quests/quest_damage,1,STEP_DEAL_1000_DAMAGE,,catalog_quest_r0,,,QUEST_NAME_DEAL_DAMAGE,1,,,,,,,,,,,,,,,
2,DAILY_DESTROY_5_SHIPS,QUEST_NAME_DESTROY,quests/quest_destroy,1,STEP_DESTROY_5_SHIPS,,catalog_quest_r1,,,QUEST_NAME_DESTROY,1,,,,,,,,,,,,,,,
3,DAILY_EARN_10_BATTLESTARS,QUEST_NAME_BATTLESTARS,quests/quest_battlestars,1,STEP_EARN_10_BATTLESTARS,,catalog_quest_r1,,,QUEST_NAME_BATTLESTARS,1,,,,,,,,,,,,,,,
4,DAILY_FIGHT_5_BATTLES,QUEST_NAME_FIGHT,quests/quest_battle,1,STEP_FIGHT_5_BATTLES,,catalog_quest_r0,,,QUEST_NAME_FIGHT,1,,,,,,,,,,,,,,,
5,DAILY_WIN_3_BATTLES,QUEST_NAME_WIN,quests/quest_winner,1,STEP_WIN_3_BATTLES,,catalog_quest_r0,,,QUEST_NAME_WIN,1,,,,,,,,,,,,,,,
6,DAILY_CANNONSHIP_VICTORY,QUEST_NAME_SHIPTYPE_VICTORY,quests/quest_shooter,2,STEP_CANNONSHIP_VICTORY,,catalog_quest_r2,,,QUEST_NAME_SHIPTYPE_VICTORY,3,,,,,,,,,,,,,,,
7,DAILY_SPEEDBOAT_VICTORY,QUEST_NAME_SHIPTYPE_VICTORY,quests/quest_speeder,2,STEP_SPEEDBOAT_VICTORY,,catalog_quest_r2,,,QUEST_NAME_SHIPTYPE_VICTORY,3,,,,,,,,,,,,,,,
8,DAILY_STINKY_VICTORY,QUEST_NAME_SHIPTYPE_VICTORY,quests/quest_enforcer,2,STEP_STINKY_VICTORY,,catalog_quest_r2,,,QUEST_NAME_SHIPTYPE_VICTORY,3,,,,,,,,,,,,,,,
9,DAILY_TANK_VICTORY,QUEST_NAME_SHIPTYPE_VICTORY,quests/quest_defender,2,STEP_TANK_VICTORY,,catalog_quest_r2,,,QUEST_NAME_SHIPTYPE_VICTORY,3,,,,,,,,,,,,,,,
10,DAILY_HEALER_VICTORY,QUEST_NAME_SHIPTYPE_VICTORY,quests/quest_fixer,2,STEP_HEALER_VICTORY,,catalog_quest_r2,,,QUEST_NAME_SHIPTYPE_VICTORY,3,,,,,,,,,,,,,,,
