ID,IDText,SkillGroupName,SkillGroup,Description,EffectGroup,Attribute,AttributeValue,AttributeOperation,AttributeValueFormat,ShowValueAsPercentage,Type,TypeID,Scope,BuffSource,BuffContributionMultiplier,,,
1,PLACEHOLDER_PERK,GROUP_ALL_ITEMS,ITEM,,,BASE_VALUE,0,ADDITIVE,,0,STAT,,SELF,,,,,
2,COOLDOWN_REDUCTION_M_1,GROUP_ALL_ITEMS,ITEM,,,COOLDOWN,-0.01,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
3,COOLDOWN_REDUCTION_M_2,GROUP_ALL_ITEMS,ITEM,,,COOLDOWN,-0.02,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
4,COOLDOWN_REDUCTION_M_3,GROUP_ALL_ITEMS,ITEM,,,COOLDOWN,-0.03,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
5,WEAPON_DAMAGE_M_1,GROUP_DAMAGE_ITEMS,WEAPON,,,BASE_VALUE,0.01,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
6,WEAPON_DAMAGE_M_2,GROUP_DAMAGE_ITEMS,WEAPON,,,BASE_VALUE,0.02,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
7,WEAPON_DAMAGE_M_3,GROUP_DAMAGE_ITEMS,WEAPON,,,BASE_VALUE,0.03,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
8,WEAPON_RANGE_A_2,GROUP_DAMAGE_ITEMS,RANGED_ITEM,,,MAX_RANGE,2,ADDITIVE,,0,STAT,,SELF,,,,,
9,SHIP_SPEED_M_1,GROUP_ALL_SHIPS,SHIP,,,SPEED,0.01,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
10,SHIP_SPEED_M_2,GROUP_ALL_SHIPS,SHIP,,,SPEED,0.02,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
11,SHIP_SPEED_M_3,GROUP_ALL_SHIPS,SHIP,,,SPEED,0.03,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
12,SHIP_SPEED_M_4,GROUP_ALL_SHIPS,SHIP,,,SPEED,0.04,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
13,SHIP_SPEED_M_5,GROUP_ALL_SHIPS,SHIP,,,SPEED,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
14,SHIP_SPEED_M_10,GROUP_ALL_SHIPS,SHIP,,,SPEED,0.1,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
15,SHIP_SPEED_TEAM_M_1,GROUP_ALL_SHIPS,SHIP,,,SPEED,0.01,MULTIPLICATIVE,,-1,STAT,,TEAM,,,,,
16,SHIP_TURNING_INCREASE_M_1,GROUP_ALL_SHIPS,SHIP,,,AGILITY,0.01,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
17,SHIP_TURNING_INCREASE_M_2,GROUP_ALL_SHIPS,SHIP,,,AGILITY,0.02,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
18,SHIP_TURNING_INCREASE_M_3,GROUP_ALL_SHIPS,SHIP,,,AGILITY,0.03,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
19,SHIP_TURNING_INCREASE_M_5,GROUP_ALL_SHIPS,SHIP,,,AGILITY,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
20,SHIP_HITPOINTS_A_25,GROUP_ALL_SHIPS,SHIP,,,HIT_POINTS,25,ADDITIVE,,0,STAT,,SELF,,,,,
21,SHIP_HITPOINTS_A_50,GROUP_ALL_SHIPS,SHIP,,,HIT_POINTS,50,ADDITIVE,,0,STAT,,SELF,,,,,
22,SHIP_HITPOINTS_A_75,GROUP_ALL_SHIPS,SHIP,,,HIT_POINTS,75,ADDITIVE,,0,STAT,,SELF,,,,,
23,SHIP_HITPOINTS_A_100,GROUP_ALL_SHIPS,SHIP,,,HIT_POINTS,100,ADDITIVE,,0,STAT,,SELF,,,,,
