ID,IDText,ItemName,Name,ExclusionGroups ,Perks,Icon,Background,CrewIcon,SkillGroupIcon,FittingGroup,Rarity,BuyCurrency,BuyPrice,SellPrice,SalvagePrice,SalvageCurrency,BuffContributionMultiplier,PowerLevel,PowerLevelFactor,
1,CANNON_DAMAGE_R2,PERK_ITEM_NAME_CANNON_DAMAGE,PERK_NAME_DAMAGE,,PERK_CANNON_DAMAGE_R2,stats/stat_damage,,crew/crew_cannoneer_iteminfo,talents/cannons,CANNON,2,SC_ITEM,70000,20000,500,SC_ITEM,,,0.05,
2,CANNON_DAMAGE_R3,PERK_ITEM_NAME_CANNON_DAMAGE,PERK_NAME_DAMAGE,,PERK_CANNON_DAMAGE_R3,stats/stat_damage,,crew/crew_cannoneer_iteminfo,talents/cannons,CANNON,3,SC_ITEM,550000,180000,10,HC,,,0.1,
3,CANNON_DAMAGE_R4,PERK_ITEM_NAME_CANNON_DAMAGE,PERK_NAME_DAMAGE,,PERK_CANNON_DAMAGE_R4,stats/stat_damage,,crew/crew_cannoneer_iteminfo,talents/cannons,CANNON,4,SC_ITEM,1500000,350000,25,HC,,,0.15,
4,CANNON_DAMAGE_R5,PERK_ITEM_NAME_CANNON_DAMAGE,PERK_NAME_DAMAGE,,PERK_CANNON_DAMAGE_R5,stats/stat_damage,,crew/crew_cannoneer_iteminfo,talents/cannons,CANNON,5,SC_ITEM,2800000,500000,100,HC,,,0.2,
5,ITEM_RANGE_R2,PERK_ITEM_NAME_ITEM_RANGE,PERK_NAME_RANGE,,PERK_ITEM_RANGE_R2,stats/stat_range,,crew/crew_fisherman_iteminfo,talents/items,RANGED_ITEM,2,SC_ITEM,70000,20000,500,SC_ITEM,,,0.05,
6,ITEM_RANGE_R3,PERK_ITEM_NAME_ITEM_RANGE,PERK_NAME_RANGE,,PERK_ITEM_RANGE_R3,stats/stat_range,,crew/crew_fisherman_iteminfo,talents/items,RANGED_ITEM,3,SC_ITEM,550000,180000,10,HC,,,0.1,
7,ITEM_RANGE_R4,PERK_ITEM_NAME_ITEM_RANGE,PERK_NAME_RANGE,,PERK_ITEM_RANGE_R4,stats/stat_range,,crew/crew_fisherman_iteminfo,talents/items,RANGED_ITEM,4,SC_ITEM,1500000,350000,25,HC,,,0.15,
8,ITEM_RANGE_R5,PERK_ITEM_NAME_ITEM_RANGE,PERK_NAME_RANGE,,PERK_ITEM_RANGE_R5,stats/stat_range,,crew/crew_fisherman_iteminfo,talents/items,RANGED_ITEM,5,SC_ITEM,2800000,500000,100,HC,,,0.2,
9,CANNON_COOLDOWN_R2,PERK_ITEM_NAME_CANNON_COOLDOWN,PERK_NAME_COOLDOWN,,PERK_CANNON_COOLDOWN_R2,stats/stat_cooldown,,crew/crew_cannoneer_iteminfo,talents/cannons,CANNON,2,SC_ITEM,70000,20000,500,SC_ITEM,,,0.05,
10,CANNON_COOLDOWN_R3,PERK_ITEM_NAME_CANNON_COOLDOWN,PERK_NAME_COOLDOWN,,PERK_CANNON_COOLDOWN_R3,stats/stat_cooldown,,crew/crew_cannoneer_iteminfo,talents/cannons,CANNON,3,SC_ITEM,550000,180000,10,HC,,,0.1,
