LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;578;10;25;0;0;4.2;0;1;0
2;583;10;25;0;0;4.2;0;1;0
3;588;10;25;0;0;4.2;0;1;0
4;594;10;25;0;0;4.2;0;1;0
5;599;10;25;0;0;4.2;0;1;0
6;604;10;25;0;0;4.2;0;1;0
7;609;10;25;0;0;4.2;0;1;0
8;615;10;25;0;0;4.2;0;1;0
9;620;10;25;0;0;4.2;0;1;0
10;625;10;25;0;0;4.2;0;1;0
11;629;10;25;0;0;4.2;0;1;0
12;634;10;25;0;0;4.2;0;1;0
13;639;10;25;0;0;4.2;0;1;0
14;645;10;25;0;0;4.2;0;1;0
15;650;10;25;0;0;4.2;0;1;0
16;655;10;25;0;0;4.2;0;1;0
17;660;10;25;0;0;4.2;0;1;0
18;666;10;25;0;0;4.2;0;1;0
19;671;10;25;0;0;4.2;0;1;0
20;676;10;25;0;0;4.2;0;1;0
21;681;10;25;0;0;4.2;0;1;0
22;686;10;25;0;0;4.2;0;1;0
23;691;10;25;0;0;4.2;0;1;0
24;696;10;25;0;0;4.2;0;1;0
25;701;10;25;0;0;4.2;0;1;0
26;707;10;25;0;0;4.2;0;1;0
27;712;10;25;0;0;4.2;0;1;0
28;717;10;25;0;0;4.2;0;1;0
29;722;10;25;0;0;4.2;0;1;0
30;727;10;25;0;0;4.2;0;1;0
31;732;10;25;0;0;4.2;0;1;0
32;737;10;25;0;0;4.2;0;1;0
33;742;10;25;0;0;4.2;0;1;0
34;748;10;25;0;0;4.2;0;1;0
35;753;10;25;0;0;4.2;0;1;0
36;758;10;25;0;0;4.2;0;1;0
37;763;10;25;0;0;4.2;0;1;0
38;769;10;25;0;0;4.2;0;1;0
39;774;10;25;0;0;4.2;0;1;0
40;779;10;25;0;0;4.2;0;1;0
41;783;10;25;0;0;4.2;0;1;0
42;789;10;25;0;0;4.2;0;1;0
43;795;10;25;0;0;4.2;0;1;0
44;801;10;25;0;0;4.2;0;1;0
45;807;10;25;0;0;4.2;0;1;0
46;812;10;25;0;0;4.2;0;1;0
47;818;10;25;0;0;4.2;0;1;0
48;824;10;25;0;0;4.2;0;1;0
49;830;10;25;0;0;4.2;0;1;0
50;836;10;25;0;0;4.2;0;1;0
