LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;1101;15.6;25;0;0;3.3;0;1;0
2;1111;15.6;25;0;0;3.3;0;1;0
3;1121;15.6;25;0;0;3.3;0;1;0
4;1131;15.6;25;0;0;3.3;0;1;0
5;1141;15.6;25;0;0;3.3;0;1;0
6;1150;15.6;25;0;0;3.3;0;1;0
7;1160;15.6;25;0;0;3.3;0;1;0
8;1170;15.6;25;0;0;3.3;0;1;0
9;1180;15.6;25;0;0;3.3;0;1;0
10;1190;15.6;25;0;0;3.3;0;1;0
11;1199;15.6;25;0;0;3.3;0;1;0
12;1209;15.6;25;0;0;3.3;0;1;0
13;1219;15.6;25;0;0;3.3;0;1;0
14;1229;15.6;25;0;0;3.3;0;1;0
15;1239;15.6;25;0;0;3.3;0;1;0
16;1249;15.6;25;0;0;3.3;0;1;0
17;1259;15.6;25;0;0;3.3;0;1;0
18;1269;15.6;25;0;0;3.3;0;1;0
19;1279;15.6;25;0;0;3.3;0;1;0
20;1289;15.6;25;0;0;3.3;0;1;0
21;1298;15.6;25;0;0;3.3;0;1;0
22;1308;15.6;25;0;0;3.3;0;1;0
23;1318;15.6;25;0;0;3.3;0;1;0
24;1328;15.6;25;0;0;3.3;0;1;0
25;1338;15.6;25;0;0;3.3;0;1;0
26;1347;15.6;25;0;0;3.3;0;1;0
27;1357;15.6;25;0;0;3.3;0;1;0
28;1367;15.6;25;0;0;3.3;0;1;0
29;1377;15.6;25;0;0;3.3;0;1;0
30;1387;15.6;25;0;0;3.3;0;1;0
31;1397;15.6;25;0;0;3.3;0;1;0
32;1407;15.6;25;0;0;3.3;0;1;0
33;1417;15.6;25;0;0;3.3;0;1;0
34;1427;15.6;25;0;0;3.3;0;1;0
35;1437;15.6;25;0;0;3.3;0;1;0
36;1446;15.6;25;0;0;3.3;0;1;0
37;1456;15.6;25;0;0;3.3;0;1;0
38;1466;15.6;25;0;0;3.3;0;1;0
39;1476;15.6;25;0;0;3.3;0;1;0
40;1486;15.6;25;0;0;3.3;0;1;0
41;1496;15.6;25;0;0;3.3;0;1;0
42;1507;15.6;25;0;0;3.3;0;1;0
43;1518;15.6;25;0;0;3.3;0;1;0
44;1529;15.6;25;0;0;3.3;0;1;0
45;1540;15.6;25;0;0;3.3;0;1;0
46;1550;15.6;25;0;0;3.3;0;1;0
47;1561;15.6;25;0;0;3.3;0;1;0
48;1572;15.6;25;0;0;3.3;0;1;0
49;1583;15.6;25;0;0;3.3;0;1;0
50;1594;15.6;25;0;0;3.3;0;1;0
