LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;10;20;0;0;0;7;0;1;0
2;10;20;0;0;0;7;0;1;0
3;11;20;0;0;0;7;0;1;0
4;11;20;0;0;0;7;0;1;0
5;11;20;0;0;0;7;0;1;0
6;11;20;0;0;0;7;0;1;0
7;11;20;0;0;0;7;0;1;0
8;11;20;0;0;0;7;0;1;0
9;11;20;0;0;0;7;0;1;0
10;11;20;0;0;0;7;0;1;0
11;11;20;0;0;0;7;0;1;0
12;11;20;0;0;0;7;0;1;0
13;11;20;0;0;0;7;0;1;0
14;12;20;0;0;0;7;0;1;0
15;12;20;0;0;0;7;0;1;0
16;12;20;0;0;0;7;0;1;0
17;12;20;0;0;0;7;0;1;0
18;12;20;0;0;0;7;0;1;0
19;12;20;0;0;0;7;0;1;0
20;12;20;0;0;0;7;0;1;0
21;12;20;0;0;0;7;0;1;0
22;12;20;0;0;0;7;0;1;0
23;12;20;0;0;0;7;0;1;0
24;12;20;0;0;0;7;0;1;0
25;13;20;0;0;0;7;0;1;0
26;13;20;0;0;0;7;0;1;0
27;13;20;0;0;0;7;0;1;0
28;13;20;0;0;0;7;0;1;0
29;13;20;0;0;0;7;0;1;0
30;13;20;0;0;0;7;0;1;0
31;13;20;0;0;0;7;0;1;0
32;13;20;0;0;0;7;0;1;0
33;13;20;0;0;0;7;0;1;0
34;13;20;0;0;0;7;0;1;0
35;14;20;0;0;0;7;0;1;0
36;14;20;0;0;0;7;0;1;0
37;14;20;0;0;0;7;0;1;0
38;14;20;0;0;0;7;0;1;0
39;14;20;0;0;0;7;0;1;0
40;14;20;0;0;0;7;0;1;0
41;14;20;0;0;0;7;0;1;0
42;14;20;0;0;0;7;0;1;0
43;14;20;0;0;0;7;0;1;0
44;14;20;0;0;0;7;0;1;0
45;14;20;0;0;0;7;0;1;0
46;15;20;0;0;0;7;0;1;0
47;15;20;0;0;0;7;0;1;0
48;15;20;0;0;0;7;0;1;0
49;15;20;0;0;0;7;0;1;0
50;15;20;0;0;0;7;0;1;0
