LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;5;20;0;0;0;7;0;1;0
2;5;20;0;0;0;7;0;1;0
3;5;20;0;0;0;7;0;1;0
4;5;20;0;0;0;7;0;1;0
5;5;20;0;0;0;7;0;1;0
6;6;20;0;0;0;7;0;1;0
7;6;20;0;0;0;7;0;1;0
8;6;20;0;0;0;7;0;1;0
9;6;20;0;0;0;7;0;1;0
10;6;20;0;0;0;7;0;1;0
11;6;20;0;0;0;7;0;1;0
12;6;20;0;0;0;7;0;1;0
13;6;20;0;0;0;7;0;1;0
14;6;20;0;0;0;7;0;1;0
15;6;20;0;0;0;7;0;1;0
16;7;20;0;0;0;7;0;1;0
17;7;20;0;0;0;7;0;1;0
18;7;20;0;0;0;7;0;1;0
19;7;20;0;0;0;7;0;1;0
20;7;20;0;0;0;7;0;1;0
21;7;20;0;0;0;7;0;1;0
22;7;20;0;0;0;7;0;1;0
23;7;20;0;0;0;7;0;1;0
24;7;20;0;0;0;7;0;1;0
25;8;20;0;0;0;7;0;1;0
26;8;20;0;0;0;7;0;1;0
27;8;20;0;0;0;7;0;1;0
28;8;20;0;0;0;7;0;1;0
29;8;20;0;0;0;7;0;1;0
30;8;20;0;0;0;7;0;1;0
31;8;20;0;0;0;7;0;1;0
32;8;20;0;0;0;7;0;1;0
33;8;20;0;0;0;7;0;1;0
34;8;20;0;0;0;7;0;1;0
35;9;20;0;0;0;7;0;1;0
36;9;20;0;0;0;7;0;1;0
37;9;20;0;0;0;7;0;1;0
38;9;20;0;0;0;7;0;1;0
39;9;20;0;0;0;7;0;1;0
40;9;20;0;0;0;7;0;1;0
41;9;20;0;0;0;7;0;1;0
42;9;20;0;0;0;7;0;1;0
43;9;20;0;0;0;7;0;1;0
44;10;20;0;0;0;7;0;1;0
45;10;20;0;0;0;7;0;1;0
46;10;20;0;0;0;7;0;1;0
47;10;20;0;0;0;7;0;1;0
48;10;20;0;0;0;7;0;1;0
49;10;20;0;0;0;7;0;1;0
50;10;20;0;0;0;7;0;1;0
