LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;0;13.3;30;0;0;6;0;1;7
2;0;13.3;30;0;0;6;0;1;7
3;0;13.3;30;0;0;6;0;1;7
4;0;13.3;30;0;0;6;0;1;7
5;0;13.3;30;0;0;6;0;1;7
6;0;13.3;30;0;0;6;0;1;7
7;0;13.3;30;0;0;6;0;1;7
8;0;13.3;30;0;0;6;0;1;7
9;0;13.3;30;0;0;6;0;1;7
10;0;13.3;30;0;0;6;0;1;7
11;0;13.3;30;0;0;6;0;1;7
12;0;13.3;30;0;0;6;0;1;7
13;0;13.3;30;0;0;6;0;1;7
14;0;13.3;30;0;0;6;0;1;7
15;0;13.3;30;0;0;6;0;1;7
16;0;13.3;30;0;0;6;0;1;7
17;0;13.3;30;0;0;6;0;1;7
18;0;13.3;30;0;0;6;0;1;7
19;0;13.3;30;0;0;6;0;1;7
20;0;13.3;30;0;0;6;0;1;7
21;0;13.3;30;0;0;6;0;1;7
22;0;13.3;30;0;0;6;0;1;7
23;0;13.3;30;0;0;6;0;1;7
24;0;13.3;30;0;0;6;0;1;7
25;0;13.3;30;0;0;6;0;1;7
26;0;13.3;30;0;0;6;0;1;7
27;0;13.3;30;0;0;6;0;1;7
28;0;13.3;30;0;0;6;0;1;7
29;0;13.3;30;0;0;6;0;1;7
30;0;13.3;30;0;0;6;0;1;7
31;0;13.3;30;0;0;6;0;1;7
32;0;13.3;30;0;0;6;0;1;7
33;0;13.3;30;0;0;6;0;1;7
34;0;13.3;30;0;0;6;0;1;7
35;0;13.3;30;0;0;6;0;1;7
36;0;13.3;30;0;0;6;0;1;7
37;0;13.3;30;0;0;6;0;1;7
38;0;13.3;30;0;0;6;0;1;7
39;0;13.3;30;0;0;6;0;1;7
40;0;13.3;30;0;0;6;0;1;7
41;0;13.3;30;0;0;6;0;1;7
42;0;13.3;30;0;0;6;0;1;7
43;0;13.3;30;0;0;6;0;1;7
44;0;13.3;30;0;0;6;0;1;7
45;0;13.3;30;0;0;6;0;1;7
46;0;13.3;30;0;0;6;0;1;7
47;0;13.3;30;0;0;6;0;1;7
48;0;13.3;30;0;0;6;0;1;7
49;0;13.3;30;0;0;6;0;1;7
50;0;13.3;30;0;0;6;0;1;7
