LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;300;11.1;12;0;10;2.2;0;1;0
2;302;11.1;12;0;10;2.2;0;1;0
3;305;11.1;12;0;10;2.2;0;1;0
4;307;11.1;12;0;10;2.2;0;1;0
5;310;11.1;12;0;10;2.2;0;1;0
6;312;11.1;12;0;10;2.2;0;1;0
7;315;11.1;12;0;10;2.2;0;1;0
8;317;11.1;12;0;10;2.2;0;1;0
9;320;11.1;12;0;10;2.2;0;1;0
10;322;11.1;12;0;10;2.2;0;1;0
11;323;11.1;12;0;10;2.2;0;1;0
12;325;11.1;12;0;10;2.2;0;1;0
13;328;11.1;12;0;10;2.2;0;1;0
14;330;11.1;12;0;10;2.2;0;1;0
15;333;11.1;12;0;10;2.2;0;1;0
16;335;11.1;12;0;10;2.2;0;1;0
17;338;11.1;12;0;10;2.2;0;1;0
18;340;11.1;12;0;10;2.2;0;1;0
19;343;11.1;12;0;10;2.2;0;1;0
20;345;11.1;12;0;10;2.2;0;1;0
21;347;11.1;12;0;10;2.2;0;1;0
22;349;11.1;12;0;10;2.2;0;1;0
23;352;11.1;12;0;10;2.2;0;1;0
24;354;11.1;12;0;10;2.2;0;1;0
25;357;11.1;12;0;10;2.2;0;1;0
26;359;11.1;12;0;10;2.2;0;1;0
27;362;11.1;12;0;10;2.2;0;1;0
28;364;11.1;12;0;10;2.2;0;1;0
29;367;11.1;12;0;10;2.2;0;1;0
30;369;11.1;12;0;10;2.2;0;1;0
31;371;11.1;12;0;10;2.2;0;1;0
32;373;11.1;12;0;10;2.2;0;1;0
33;376;11.1;12;0;10;2.2;0;1;0
34;378;11.1;12;0;10;2.2;0;1;0
35;381;11.1;12;0;10;2.2;0;1;0
36;383;11.1;12;0;10;2.2;0;1;0
37;386;11.1;12;0;10;2.2;0;1;0
38;388;11.1;12;0;10;2.2;0;1;0
39;391;11.1;12;0;10;2.2;0;1;0
40;393;11.1;12;0;10;2.2;0;1;0
41;395;11.1;12;0;10;2.2;0;1;0
42;398;11.1;12;0;10;2.2;0;1;0
43;400;11.1;12;0;10;2.2;0;1;0
44;403;11.1;12;0;10;2.2;0;1;0
45;405;11.1;12;0;10;2.2;0;1;0
46;408;11.1;12;0;10;2.2;0;1;0
47;410;11.1;12;0;10;2.2;0;1;0
48;413;11.1;12;0;10;2.2;0;1;0
49;415;11.1;12;0;10;2.2;0;1;0
50;418;11.1;12;0;10;2.2;0;1;0
