LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;339;11.1;12;0;10;2.2;0;1;0
2;346;11.1;12;0;10;2.2;0;1;0
3;353;11.1;12;0;10;2.2;0;1;0
4;360;11.1;12;0;10;2.2;0;1;0
5;367;11.1;12;0;10;2.2;0;1;0
6;373;11.1;12;0;10;2.2;0;1;0
7;380;11.1;12;0;10;2.2;0;1;0
8;387;11.1;12;0;10;2.2;0;1;0
9;394;11.1;12;0;10;2.2;0;1;0
10;401;11.1;12;0;10;2.2;0;1;0
11;408;11.1;12;0;10;2.2;0;1;0
12;415;11.1;12;0;10;2.2;0;1;0
13;422;11.1;12;0;10;2.2;0;1;0
14;429;11.1;12;0;10;2.2;0;1;0
15;436;11.1;12;0;10;2.2;0;1;0
16;443;11.1;12;0;10;2.2;0;1;0
17;450;11.1;12;0;10;2.2;0;1;0
18;457;11.1;12;0;10;2.2;0;1;0
19;464;11.1;12;0;10;2.2;0;1;0
20;471;11.1;12;0;10;2.2;0;1;0
21;477;11.1;12;0;10;2.2;0;1;0
22;484;11.1;12;0;10;2.2;0;1;0
23;491;11.1;12;0;10;2.2;0;1;0
24;498;11.1;12;0;10;2.2;0;1;0
25;505;11.1;12;0;10;2.2;0;1;0
26;512;11.1;12;0;10;2.2;0;1;0
27;519;11.1;12;0;10;2.2;0;1;0
28;526;11.1;12;0;10;2.2;0;1;0
29;533;11.1;12;0;10;2.2;0;1;0
30;540;11.1;12;0;10;2.2;0;1;0
31;547;11.1;12;0;10;2.2;0;1;0
32;554;11.1;12;0;10;2.2;0;1;0
33;561;11.1;12;0;10;2.2;0;1;0
34;568;11.1;12;0;10;2.2;0;1;0
35;575;11.1;12;0;10;2.2;0;1;0
36;581;11.1;12;0;10;2.2;0;1;0
37;588;11.1;12;0;10;2.2;0;1;0
38;595;11.1;12;0;10;2.2;0;1;0
39;602;11.1;12;0;10;2.2;0;1;0
40;609;11.1;12;0;10;2.2;0;1;0
41;616;11.1;12;0;10;2.2;0;1;0
42;624;11.1;12;0;10;2.2;0;1;0
43;632;11.1;12;0;10;2.2;0;1;0
44;639;11.1;12;0;10;2.2;0;1;0
45;647;11.1;12;0;10;2.2;0;1;0
46;655;11.1;12;0;10;2.2;0;1;0
47;663;11.1;12;0;10;2.2;0;1;0
48;670;11.1;12;0;10;2.2;0;1;0
49;678;11.1;12;0;10;2.2;0;1;0
50;686;11.1;12;0;10;2.2;0;1;0
