LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;154;12.8;30;0;0;1.5;10;5;0
2;158;12.8;30;0;0;1.5;10;5;0
3;162;12.8;30;0;0;1.5;10;5;0
4;166;12.8;30;0;0;1.5;10;5;0
5;170;12.8;30;0;0;1.5;10;5;0
6;174;12.8;30;0;0;1.5;10;5;0
7;178;12.8;30;0;0;1.5;10;5;0
8;182;12.8;30;0;0;1.5;10;5;0
9;186;12.8;30;0;0;1.5;10;5;0
10;190;12.8;30;0;0;1.5;10;5;0
11;193;12.8;30;0;0;1.5;10;5;0
12;197;12.8;30;0;0;1.5;10;5;0
13;201;12.8;30;0;0;1.5;10;5;0
14;205;12.8;30;0;0;1.5;10;5;0
15;209;12.8;30;0;0;1.5;10;5;0
16;212;12.8;30;0;0;1.5;10;5;0
17;216;12.8;30;0;0;1.5;10;5;0
18;220;12.8;30;0;0;1.5;10;5;0
19;224;12.8;30;0;0;1.5;10;5;0
20;228;12.8;30;0;0;1.5;10;5;0
21;232;12.8;30;0;0;1.5;10;5;0
22;236;12.8;30;0;0;1.5;10;5;0
23;240;12.8;30;0;0;1.5;10;5;0
24;244;12.8;30;0;0;1.5;10;5;0
25;248;12.8;30;0;0;1.5;10;5;0
26;251;12.8;30;0;0;1.5;10;5;0
27;255;12.8;30;0;0;1.5;10;5;0
28;259;12.8;30;0;0;1.5;10;5;0
29;263;12.8;30;0;0;1.5;10;5;0
30;267;12.8;30;0;0;1.5;10;5;0
31;271;12.8;30;0;0;1.5;10;5;0
32;275;12.8;30;0;0;1.5;10;5;0
33;279;12.8;30;0;0;1.5;10;5;0
34;283;12.8;30;0;0;1.5;10;5;0
35;287;12.8;30;0;0;1.5;10;5;0
36;290;12.8;30;0;0;1.5;10;5;0
37;294;12.8;30;0;0;1.5;10;5;0
38;298;12.8;30;0;0;1.5;10;5;0
39;302;12.8;30;0;0;1.5;10;5;0
40;306;12.8;30;0;0;1.5;10;5;0
41;310;12.8;30;0;0;1.5;10;5;0
42;314;12.8;30;0;0;1.5;10;5;0
43;319;12.8;30;0;0;1.5;10;5;0
44;323;12.8;30;0;0;1.5;10;5;0
45;327;12.8;30;0;0;1.5;10;5;0
46;332;12.8;30;0;0;1.5;10;5;0
47;336;12.8;30;0;0;1.5;10;5;0
48;340;12.8;30;0;0;1.5;10;5;0
49;345;12.8;30;0;0;1.5;10;5;0
50;349;12.8;30;0;0;1.5;10;5;0
