LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;289;12.8;30;0;0;1.5;10;5;0
2;292;12.8;30;0;0;1.5;10;5;0
3;294;12.8;30;0;0;1.5;10;5;0
4;297;12.8;30;0;0;1.5;10;5;0
5;300;12.8;30;0;0;1.5;10;5;0
6;302;12.8;30;0;0;1.5;10;5;0
7;305;12.8;30;0;0;1.5;10;5;0
8;308;12.8;30;0;0;1.5;10;5;0
9;310;12.8;30;0;0;1.5;10;5;0
10;313;12.8;30;0;0;1.5;10;5;0
11;315;12.8;30;0;0;1.5;10;5;0
12;318;12.8;30;0;0;1.5;10;5;0
13;320;12.8;30;0;0;1.5;10;5;0
14;323;12.8;30;0;0;1.5;10;5;0
15;326;12.8;30;0;0;1.5;10;5;0
16;328;12.8;30;0;0;1.5;10;5;0
17;331;12.8;30;0;0;1.5;10;5;0
18;334;12.8;30;0;0;1.5;10;5;0
19;336;12.8;30;0;0;1.5;10;5;0
20;339;12.8;30;0;0;1.5;10;5;0
21;341;12.8;30;0;0;1.5;10;5;0
22;344;12.8;30;0;0;1.5;10;5;0
23;346;12.8;30;0;0;1.5;10;5;0
24;349;12.8;30;0;0;1.5;10;5;0
25;351;12.8;30;0;0;1.5;10;5;0
26;354;12.8;30;0;0;1.5;10;5;0
27;356;12.8;30;0;0;1.5;10;5;0
28;359;12.8;30;0;0;1.5;10;5;0
29;361;12.8;30;0;0;1.5;10;5;0
30;364;12.8;30;0;0;1.5;10;5;0
31;366;12.8;30;0;0;1.5;10;5;0
32;369;12.8;30;0;0;1.5;10;5;0
33;371;12.8;30;0;0;1.5;10;5;0
34;374;12.8;30;0;0;1.5;10;5;0
35;377;12.8;30;0;0;1.5;10;5;0
36;379;12.8;30;0;0;1.5;10;5;0
37;382;12.8;30;0;0;1.5;10;5;0
38;385;12.8;30;0;0;1.5;10;5;0
39;387;12.8;30;0;0;1.5;10;5;0
40;390;12.8;30;0;0;1.5;10;5;0
41;392;12.8;30;0;0;1.5;10;5;0
42;395;12.8;30;0;0;1.5;10;5;0
43;398;12.8;30;0;0;1.5;10;5;0
44;401;12.8;30;0;0;1.5;10;5;0
45;404;12.8;30;0;0;1.5;10;5;0
46;406;12.8;30;0;0;1.5;10;5;0
47;409;12.8;30;0;0;1.5;10;5;0
48;412;12.8;30;0;0;1.5;10;5;0
49;415;12.8;30;0;0;1.5;10;5;0
50;418;12.8;30;0;0;1.5;10;5;0
