LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;1;12;0;0;0;0;0;1;6
2;1;12;0;0;0;0;0;1;6
3;1;12;0;0;0;0;0;1;6
4;1;12;0;0;0;0;0;1;6
5;1;12;0;0;0;0;0;1;6
6;1;12;0;0;0;0;0;1;6
7;1;12;0;0;0;0;0;1;6
8;1;12;0;0;0;0;0;1;6
9;1;12;0;0;0;0;0;1;6
10;1;12;0;0;0;0;0;1;6
11;1;12;0;0;0;0;0;1;6
12;1;12;0;0;0;0;0;1;6
13;1;12;0;0;0;0;0;1;6
14;1;12;0;0;0;0;0;1;6
15;1;12;0;0;0;0;0;1;6
16;1;12;0;0;0;0;0;1;6
17;1;12;0;0;0;0;0;1;6
18;1;12;0;0;0;0;0;1;6
19;1;12;0;0;0;0;0;1;6
20;1;12;0;0;0;0;0;1;6
21;1;12;0;0;0;0;0;1;6
22;1;12;0;0;0;0;0;1;6
23;1;12;0;0;0;0;0;1;6
24;1;12;0;0;0;0;0;1;6
25;1;12;0;0;0;0;0;1;6
26;1;12;0;0;0;0;0;1;6
27;1;12;0;0;0;0;0;1;6
28;1;12;0;0;0;0;0;1;6
29;1;12;0;0;0;0;0;1;6
30;1;12;0;0;0;0;0;1;6
31;1;12;0;0;0;0;0;1;6
32;1;12;0;0;0;0;0;1;6
33;1;12;0;0;0;0;0;1;6
34;1;12;0;0;0;0;0;1;6
35;1;12;0;0;0;0;0;1;6
36;1;12;0;0;0;0;0;1;6
37;1;12;0;0;0;0;0;1;6
38;1;12;0;0;0;0;0;1;6
39;1;12;0;0;0;0;0;1;6
40;1;12;0;0;0;0;0;1;6
41;1;12;0;0;0;0;0;1;6
42;1;12;0;0;0;0;0;1;6
43;1;12;0;0;0;0;0;1;6
44;1;12;0;0;0;0;0;1;6
45;1;12;0;0;0;0;0;1;6
46;1;12;0;0;0;0;0;1;6
47;1;12;0;0;0;0;0;1;6
48;1;12;0;0;0;0;0;1;6
49;1;12;0;0;0;0;0;1;6
50;1;12;0;0;0;0;0;1;6
