LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;499;22.2;0;39.6;0;0;0;1;0
2;507;22.2;0;39.6;0;0;0;1;0
3;515;22.2;0;39.6;0;0;0;1;0
4;522;22.2;0;39.6;0;0;0;1;0
5;530;22.2;0;39.6;0;0;0;1;0
6;538;22.2;0;39.6;0;0;0;1;0
7;546;22.2;0;39.6;0;0;0;1;0
8;553;22.2;0;39.6;0;0;0;1;0
9;561;22.2;0;39.6;0;0;0;1;0
10;569;22.2;0;39.6;0;0;0;1;0
11;576;22.2;0;39.6;0;0;0;1;0
12;584;22.2;0;39.6;0;0;0;1;0
13;592;22.2;0;39.6;0;0;0;1;0
14;599;22.2;0;39.6;0;0;0;1;0
15;607;22.2;0;39.6;0;0;0;1;0
16;615;22.2;0;39.6;0;0;0;1;0
17;623;22.2;0;39.6;0;0;0;1;0
18;630;22.2;0;39.6;0;0;0;1;0
19;638;22.2;0;39.6;0;0;0;1;0
20;646;22.2;0;39.6;0;0;0;1;0
21;653;22.2;0;39.6;0;0;0;1;0
22;661;22.2;0;39.6;0;0;0;1;0
23;668;22.2;0;39.6;0;0;0;1;0
24;676;22.2;0;39.6;0;0;0;1;0
25;684;22.2;0;39.6;0;0;0;1;0
26;691;22.2;0;39.6;0;0;0;1;0
27;699;22.2;0;39.6;0;0;0;1;0
28;707;22.2;0;39.6;0;0;0;1;0
29;714;22.2;0;39.6;0;0;0;1;0
30;722;22.2;0;39.6;0;0;0;1;0
31;730;22.2;0;39.6;0;0;0;1;0
32;738;22.2;0;39.6;0;0;0;1;0
33;745;22.2;0;39.6;0;0;0;1;0
34;753;22.2;0;39.6;0;0;0;1;0
35;761;22.2;0;39.6;0;0;0;1;0
36;768;22.2;0;39.6;0;0;0;1;0
37;776;22.2;0;39.6;0;0;0;1;0
38;784;22.2;0;39.6;0;0;0;1;0
39;791;22.2;0;39.6;0;0;0;1;0
40;799;22.2;0;39.6;0;0;0;1;0
41;807;22.2;0;39.6;0;0;0;1;0
42;815;22.2;0;39.6;0;0;0;1;0
43;824;22.2;0;39.6;0;0;0;1;0
44;832;22.2;0;39.6;0;0;0;1;0
45;840;22.2;0;39.6;0;0;0;1;0
46;849;22.2;0;39.6;0;0;0;1;0
47;857;22.2;0;39.6;0;0;0;1;0
48;865;22.2;0;39.6;0;0;0;1;0
49;874;22.2;0;39.6;0;0;0;1;0
50;882;22.2;0;39.6;0;0;0;1;0
