LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;67;17;22;0;0;4;0;1;15
2;68;17;22;0;0;4;0;1;15
3;68;17;22;0;0;4;0;1;15
4;69;17;22;0;0;4;0;1;15
5;70;17;22;0;0;4;0;1;15
6;70;17;22;0;0;4;0;1;15
7;71;17;22;0;0;4;0;1;15
8;72;17;22;0;0;4;0;1;15
9;72;17;22;0;0;4;0;1;15
10;73;17;22;0;0;4;0;1;15
11;73;17;22;0;0;4;0;1;15
12;74;17;22;0;0;4;0;1;15
13;74;17;22;0;0;4;0;1;15
14;75;17;22;0;0;4;0;1;15
15;76;17;22;0;0;4;0;1;15
16;76;17;22;0;0;4;0;1;15
17;77;17;22;0;0;4;0;1;15
18;78;17;22;0;0;4;0;1;15
19;78;17;22;0;0;4;0;1;15
20;79;17;22;0;0;4;0;1;15
21;78;17;22;0;0;4;0;1;15
22;79;17;22;0;0;4;0;1;15
23;79;17;22;0;0;4;0;1;15
24;80;17;22;0;0;4;0;1;15
25;81;17;22;0;0;4;0;1;15
26;81;17;22;0;0;4;0;1;15
27;82;17;22;0;0;4;0;1;15
28;83;17;22;0;0;4;0;1;15
29;83;17;22;0;0;4;0;1;15
30;84;17;22;0;0;4;0;1;15
31;84;17;22;0;0;4;0;1;15
32;85;17;22;0;0;4;0;1;15
33;85;17;22;0;0;4;0;1;15
34;86;17;22;0;0;4;0;1;15
35;87;17;22;0;0;4;0;1;15
36;87;17;22;0;0;4;0;1;15
37;88;17;22;0;0;4;0;1;15
38;89;17;22;0;0;4;0;1;15
39;89;17;22;0;0;4;0;1;15
40;90;17;22;0;0;4;0;1;15
41;90;17;22;0;0;4;0;1;15
42;91;17;22;0;0;4;0;1;15
43;91;17;22;0;0;4;0;1;15
44;92;17;22;0;0;4;0;1;15
45;93;17;22;0;0;4;0;1;15
46;93;17;22;0;0;4;0;1;15
47;94;17;22;0;0;4;0;1;15
48;95;17;22;0;0;4;0;1;15
49;95;17;22;0;0;4;0;1;15
50;96;17;22;0;0;4;0;1;15
