LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;732;11;25;0;0;3;0;1;0
2;739;11;25;0;0;3;0;1;0
3;745;11;25;0;0;3;0;1;0
4;752;11;25;0;0;3;0;1;0
5;759;11;25;0;0;3;0;1;0
6;765;11;25;0;0;3;0;1;0
7;772;11;25;0;0;3;0;1;0
8;779;11;25;0;0;3;0;1;0
9;785;11;25;0;0;3;0;1;0
10;792;11;25;0;0;3;0;1;0
11;798;11;25;0;0;3;0;1;0
12;805;11;25;0;0;3;0;1;0
13;811;11;25;0;0;3;0;1;0
14;818;11;25;0;0;3;0;1;0
15;824;11;25;0;0;3;0;1;0
16;831;11;25;0;0;3;0;1;0
17;837;11;25;0;0;3;0;1;0
18;844;11;25;0;0;3;0;1;0
19;850;11;25;0;0;3;0;1;0
20;857;11;25;0;0;3;0;1;0
21;863;11;25;0;0;3;0;1;0
22;870;11;25;0;0;3;0;1;0
23;876;11;25;0;0;3;0;1;0
24;883;11;25;0;0;3;0;1;0
25;890;11;25;0;0;3;0;1;0
26;896;11;25;0;0;3;0;1;0
27;903;11;25;0;0;3;0;1;0
28;910;11;25;0;0;3;0;1;0
29;916;11;25;0;0;3;0;1;0
30;923;11;25;0;0;3;0;1;0
31;929;11;25;0;0;3;0;1;0
32;936;11;25;0;0;3;0;1;0
33;942;11;25;0;0;3;0;1;0
34;949;11;25;0;0;3;0;1;0
35;955;11;25;0;0;3;0;1;0
36;962;11;25;0;0;3;0;1;0
37;968;11;25;0;0;3;0;1;0
38;975;11;25;0;0;3;0;1;0
39;981;11;25;0;0;3;0;1;0
40;988;11;25;0;0;3;0;1;0
41;994;11;25;0;0;3;0;1;0
42;1001;11;25;0;0;3;0;1;0
43;1009;11;25;0;0;3;0;1;0
44;1016;11;25;0;0;3;0;1;0
45;1023;11;25;0;0;3;0;1;0
46;1031;11;25;0;0;3;0;1;0
47;1038;11;25;0;0;3;0;1;0
48;1045;11;25;0;0;3;0;1;0
49;1053;11;25;0;0;3;0;1;0
50;1060;11;25;0;0;3;0;1;0
