LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;322;10;0;5;0;3;0;1;0
2;325;10;0;5;0;3;0;1;0
3;327;10;0;5;0;3;0;1;0
4;330;10;0;5;0;3;0;1;0
5;332;10;0;5;0;3;0;1;0
6;335;10;0;5;0;3;0;1;0
7;337;10;0;5;0;3;0;1;0
8;340;10;0;5;0;3;0;1;0
9;342;10;0;5;0;3;0;1;0
10;345;10;0;5;0;3;0;1;0
11;347;10;0;5;0;3;0;1;0
12;350;10;0;5;0;3;0;1;0
13;352;10;0;5;0;3;0;1;0
14;355;10;0;5;0;3;0;1;0
15;358;10;0;5;0;3;0;1;0
16;360;10;0;5;0;3;0;1;0
17;363;10;0;5;0;3;0;1;0
18;366;10;0;5;0;3;0;1;0
19;368;10;0;5;0;3;0;1;0
20;371;10;0;5;0;3;0;1;0
21;373;10;0;5;0;3;0;1;0
22;376;10;0;5;0;3;0;1;0
23;378;10;0;5;0;3;0;1;0
24;381;10;0;5;0;3;0;1;0
25;384;10;0;5;0;3;0;1;0
26;386;10;0;5;0;3;0;1;0
27;389;10;0;5;0;3;0;1;0
28;392;10;0;5;0;3;0;1;0
29;394;10;0;5;0;3;0;1;0
30;397;10;0;5;0;3;0;1;0
31;399;10;0;5;0;3;0;1;0
32;402;10;0;5;0;3;0;1;0
33;404;10;0;5;0;3;0;1;0
34;407;10;0;5;0;3;0;1;0
35;409;10;0;5;0;3;0;1;0
36;412;10;0;5;0;3;0;1;0
37;414;10;0;5;0;3;0;1;0
38;417;10;0;5;0;3;0;1;0
39;419;10;0;5;0;3;0;1;0
40;422;10;0;5;0;3;0;1;0
41;424;10;0;5;0;3;0;1;0
42;427;10;0;5;0;3;0;1;0
43;430;10;0;5;0;3;0;1;0
44;433;10;0;5;0;3;0;1;0
45;436;10;0;5;0;3;0;1;0
46;438;10;0;5;0;3;0;1;0
47;441;10;0;5;0;3;0;1;0
48;444;10;0;5;0;3;0;1;0
49;447;10;0;5;0;3;0;1;0
50;450;10;0;5;0;3;0;1;0
