LEVEL;BASE_STAT;COOL_DOWN;RANGE;PROJECTILE_SPEED;CRITICAL_HIT_CHANCE;RADIUS;SPREAD;AMOUNT_OF_PROJECTILES;DURATION
1;405;20;0;0;0;1;0;1;5
2;418;20;0;0;0;1;0;1;5
3;430;20;0;0;0;1;0;1;5
4;443;20;0;0;0;1;0;1;5
5;456;20;0;0;0;1;0;1;5
6;468;20;0;0;0;1;0;1;5
7;481;20;0;0;0;1;0;1;5
8;494;20;0;0;0;1;0;1;5
9;506;20;0;0;0;1;0;1;5
10;519;20;0;0;0;1;0;1;5
11;531;20;0;0;0;1;0;1;5
12;544;20;0;0;0;1;0;1;5
13;556;20;0;0;0;1;0;1;5
14;569;20;0;0;0;1;0;1;5
15;582;20;0;0;0;1;0;1;5
16;594;20;0;0;0;1;0;1;5
17;607;20;0;0;0;1;0;1;5
18;620;20;0;0;0;1;0;1;5
19;632;20;0;0;0;1;0;1;5
20;645;20;0;0;0;1;0;1;5
21;657;20;0;0;0;1;0;1;5
22;670;20;0;0;0;1;0;1;5
23;682;20;0;0;0;1;0;1;5
24;695;20;0;0;0;1;0;1;5
25;708;20;0;0;0;1;0;1;5
26;720;20;0;0;0;1;0;1;5
27;733;20;0;0;0;1;0;1;5
28;746;20;0;0;0;1;0;1;5
29;758;20;0;0;0;1;0;1;5
30;771;20;0;0;0;1;0;1;5
31;783;20;0;0;0;1;0;1;5
32;796;20;0;0;0;1;0;1;5
33;808;20;0;0;0;1;0;1;5
34;821;20;0;0;0;1;0;1;5
35;834;20;0;0;0;1;0;1;5
36;846;20;0;0;0;1;0;1;5
37;859;20;0;0;0;1;0;1;5
38;872;20;0;0;0;1;0;1;5
39;884;20;0;0;0;1;0;1;5
40;897;20;0;0;0;1;0;1;5
41;909;20;0;0;0;1;0;1;5
42;923;20;0;0;0;1;0;1;5
43;937;20;0;0;0;1;0;1;5
44;951;20;0;0;0;1;0;1;5
45;965;20;0;0;0;1;0;1;5
46;979;20;0;0;0;1;0;1;5
47;993;20;0;0;0;1;0;1;5
48;1007;20;0;0;0;1;0;1;5
49;1021;20;0;0;0;1;0;1;5
50;1035;20;0;0;0;1;0;1;5
